condition_id,model,param,N_valid,N_truth_avail,mean_bias,mean_rel_bias,coverage_95,mean_post_sd,emp_sd,sd_bias,mean_n_div,prop_div,mean_rhat
86,SG,rho,200,200,-0.06633213579734998,-0.13266427159469996,0.925,0.111527873774408,0.11224492716759901,-7.170533931910167e-4,1.325,0.45,1.00389603751754
87,NG,mu[1],200,200,-0.01658976742026485,-0.01658976742026485,0.93,0.14853068965698163,0.174495518419686,-0.025964828762704367,0,0,1.0011198241001
87,NG,mu[2],200,200,-0.017382167741314875,-0.017382167741314875,0.91,0.14866231653983097,0.16882474290010863,-0.020162426360277652,0,0,1.0011198241001
87,NG,phi11,200,200,-0.08167870890875926,-0.14850674347047138,0.95,0.13432272708662651,0.11756972758285647,0.016752999503770044,0,0,1.0011198241001
87,NG,phi12,200,200,4.637895184410564e-4,0.0046378951844105645,0.97,0.15729777772801296,0.14470847855956906,0.012589299168443896,0,0,1.0011198241001
87,NG,phi21,200,200,-0.006432239255153357,-0.06432239255153356,0.97,0.13783850941651865,0.12728285513039803,0.010555654286120625,0,0,1.0011198241001
87,NG,phi22,200,200,-0.05196135415516355,-0.2078454166206542,0.99,0.1531719575391542,0.12753886949520638,0.025633088043947816,0,0,1.0011198241001
87,NG,rho,200,200,-0.10998390972092079,-0.21996781944184157,0.725,0.11606267882734876,0.1593445659478266,-0.04328188712047783,0,0,1.0011198241001
87,NG,sigma[1],200,200,-0.007004239553561633,-0.007004239553561633,0.665,0.1032301846960244,0.2260126696091349,-0.12278248491311052,0,0,1.0011198241001
87,NG,sigma[2],200,200,-0.008135352072755874,-0.008135352072755874,0.66,0.10308114294312772,0.23190953697236746,-0.12882839402923973,0,0,1.0011198241001
87,SG,alpha[1],200,0,NA,NA,NA,56.66196152068602,13.475891299177317,43.1860702215087,10.865,0.99,1.0077122760021335
87,SG,alpha[2],200,0,NA,NA,NA,57.76790549389799,12.404420704326052,45.36348478957194,10.865,0.99,1.0077122760021335
87,SG,mu[1],200,200,-0.23332773434724866,-0.23332773434724866,0.435,0.11169340952265185,0.1984600410751819,-0.08676663155253005,10.865,0.99,1.0077122760021335
87,SG,mu[2],200,200,-0.2339149880874057,-0.2339149880874057,0.43,0.11146565970321962,0.20183949407985968,-0.09037383437664007,10.865,0.99,1.0077122760021335
87,SG,omega[1],200,0,NA,NA,NA,0.13674700937654022,0.2633936824557549,-0.12664667307921468,10.865,0.99,1.0077122760021335
87,SG,omega[2],200,0,NA,NA,NA,0.1368188260150444,0.26919959247050446,-0.13238076645546007,10.865,0.99,1.0077122760021335
87,SG,phi11,200,200,-0.01836955618882632,-0.03339919307059331,1,0.0564013019416447,0.029951857066360468,0.026449444875284233,10.865,0.99,1.0077122760021335
87,SG,phi12,200,200,-0.01411438318549492,-0.1411438318549492,1,0.06713951464846138,0.03829673906371369,0.02884277558474769,10.865,0.99,1.0077122760021335
87,SG,phi21,200,200,-0.003713961582487711,-0.037139615824877105,1,0.055408976781372965,0.030269560471387822,0.025139416309985143,10.865,0.99,1.0077122760021335
87,SG,phi22,200,200,-0.025530756254790704,-0.10212302501916282,1,0.06757900098947474,0.03471803864317173,0.03286096234630301,10.865,0.99,1.0077122760021335
87,SG,rho,200,200,-0.10545878526660665,-0.2109175705332133,0.71,0.09215680771972803,0.11481252085247426,-0.022655713132746225,10.865,0.99,1.0077122760021335
88,NG,mu[1],200,200,0.004360538824206496,0.004360538824206496,0.935,0.1496767135519884,0.17615268928691097,-0.02647597573492258,0,0,1.001064091199759
88,NG,mu[2],200,200,-0.006857135623611484,-0.006857135623611484,0.94,0.1494217979435899,0.1645957438569413,-0.015173945913351417,0,0,1.001064091199759
88,NG,phi11,200,200,-0.09793610796021808,-0.17806565083676013,0.9,0.13490159480770342,0.13190350743866583,0.0029980873690375887,0,0,1.001064091199759
88,NG,phi12,200,200,0.007873360881988364,0.07873360881988363,0.96,0.15461376230021628,0.144150752061629,0.010463010238587284,0,0,1.001064091199759
88,NG,phi21,200,200,-0.03458550412840166,-0.3458550412840166,0.935,0.13596962682336863,0.1371405164767912,-0.0011708896534225743,0,0,1.001064091199759
88,NG,phi22,200,200,-0.043815779430585775,-0.1752631177223431,0.965,0.15294933029688484,0.13324237944683523,0.019706950850049615,0,0,1.001064091199759
88,NG,rho,200,200,-0.07915241037033331,-0.15830482074066662,0.92,0.11516125426630477,0.10356019837927279,0.011601055887031989,0,0,1.001064091199759
88,NG,sigma[1],200,200,0.005548413894122379,0.005548413894122379,0.93,0.10461741075938609,0.10955297528439832,-0.0049355645250122315,0,0,1.001064091199759
88,NG,sigma[2],200,200,0.0025395080955781047,0.0025395080955781047,0.925,0.10410571055854233,0.11124433922129781,-0.0071386286627554835,0,0,1.001064091199759
88,SG,alpha[1],200,200,-2.4348544751200474,-0.6087136187800118,0.52,2.745919928047577,2.037182211987982,0.7087377160595949,0.48,0.22,1.0030996844354032
88,SG,alpha[2],200,200,2.788725440050108,0.697181360012527,0.56,2.259615615126864,1.3987575818589542,0.8608580332679097,0.48,0.22,1.0030996844354032
88,SG,mu[1],200,200,0.0062615434338936645,0.0062615434338936645,0.925,0.1453136833651978,0.17213428946038914,-0.02682060609519135,0.48,0.22,1.0030996844354032
88,SG,mu[2],200,200,-0.006825211404502706,-0.006825211404502706,0.935,0.1457339669531704,0.16164255351447027,-0.01590858656129987,0.48,0.22,1.0030996844354032
88,SG,omega[1],200,200,-0.3967830239152265,-0.25120735587247683,0.62,0.2020164526298826,0.19168635025313718,0.01033010237674542,0.48,0.22,1.0030996844354032
88,SG,omega[2],200,200,-0.4169049528329487,-0.2639467531092772,0.56,0.20154811710418188,0.17274763898081555,0.028800478123366335,0.48,0.22,1.0030996844354032
88,SG,phi11,200,200,-0.08884551595945976,-0.16153730174447228,0.915,0.1298777789948715,0.12373718317029807,0.006140595824573422,0.48,0.22,1.0030996844354032
88,SG,phi12,200,200,0.008937924383752065,0.08937924383752065,0.96,0.14722559911335048,0.13517248779549298,0.012053111317857496,0.48,0.22,1.0030996844354032
88,SG,phi21,200,200,-0.029951259798204562,-0.2995125979820456,0.945,0.131268387546785,0.12955873147791633,0.0017096560688686646,0.48,0.22,1.0030996844354032
88,SG,phi22,200,200,-0.04075813352546134,-0.16303253410184537,0.97,0.14733311695422466,0.12622646084918426,0.021106656105040394,0.48,0.22,1.0030996844354032
88,SG,rho,200,200,-0.07257099612167173,-0.14514199224334345,0.92,0.11316504037495013,0.10507453112299904,0.008090509251951095,0.48,0.22,1.0030996844354032
89,NG,mu[1],200,200,-0.011342078983273739,-0.011342078983273739,0.935,0.14977919691446548,0.15188623966619363,-0.0021070427517281554,0,0,1.001084868024809
89,NG,mu[2],200,200,0.0025385479155620467,0.0025385479155620467,0.885,0.14866552930606913,0.1703345899240254,-0.02166906061795626,0,0,1.001084868024809
89,NG,phi11,200,200,-0.08175727575956938,-0.14864959229012614,0.91,0.13306053184385103,0.13640250892309136,-0.0033419770792403325,0,0,1.001084868024809
89,NG,phi12,200,200,0.004555951601990571,0.04555951601990571,0.95,0.15481435363012094,0.1459304178464347,0.008883935783686236,0,0,1.001084868024809
89,NG,phi21,200,200,-0.03610599058597486,-0.3610599058597486,0.965,0.1333073593323,0.13179392984772284,0.0015134294845771668,0,0,1.001084868024809
