Model,T,skew_level,direction,VARset,rho,param,mean_rel_bias,coverage_95,mean_post_sd,emp_sd,mean_bias,sd_bias,RMSE
Normal–Gaussian (NG),50,Exponential,--,A,0.3,phi11,-0.1566233758901776,0.975,0.13955355279092868,0.11276471698524547,-0.06264935035607105,0.02678883580568321,0.12899931200126707
Normal–Gaussian (NG),50,Exponential,--,A,0.3,phi12,-0.14408458691117448,0.99,0.14561905567538772,0.13291935357754364,-0.014408458691117449,0.012699702097844073,0.1336980113439452
Normal–Gaussian (NG),50,Exponential,--,A,0.3,phi21,0.16779562268690354,0.95,0.14047902035650445,0.13007412033353039,0.016779562268690346,0.010404900022974062,0.13115193666305733
Normal–Gaussian (NG),50,Exponential,--,A,0.3,phi22,-0.21062731723352476,0.96,0.13945512576981595,0.11622585717474944,-0.0842509268934099,0.023229268595066507,0.1435502300883003
Normal–Gaussian (NG),50,Exponential,--,A,0.3,rho,-0.20844132990682437,0.89,0.1281302835761339,0.14100347947984695,-0.0625323989720473,-0.012873195903713053,0.1542474704707436
Normal–Gaussian (NG),50,Exponential,--,A,0.5,sigma[1],-0.00790682411161264,0.77,0.10289521537989262,0.1702773864490718,-0.00790682411161264,-0.0673821710691792,0.17046086414030207
Normal–Gaussian (NG),50,Exponential,--,A,0.5,sigma[2],-0.005801748831977648,0.715,0.10315288117802718,0.1982080794199427,-0.005801748831977648,-0.09505519824191552,0.19829297273693705
Normal–Gaussian (NG),50,Exponential,--,A,0.5,mu[1],-0.009721100268712705,0.965,0.14717367835233439,0.1462354866021868,-0.009721100268712705,9.381917501475878e-4,0.1465582387046621
Normal–Gaussian (NG),50,Exponential,--,A,0.5,mu[2],-0.0018496679672111143,0.895,0.147639879373492,0.17779402073303344,-0.0018496679672111143,-0.030154141359541448,0.17780364191997658
Normal–Gaussian (NG),50,Exponential,--,A,0.5,phi11,-0.21255871592440334,0.94,0.1476191055814647,0.13238110339179923,-0.08502348636976134,0.015238002189665478,0.15733324432458395
Normal–Gaussian (NG),50,Exponential,--,A,0.5,phi12,0.37533491131292196,0.925,0.15197612474860708,0.1559027354944858,0.037533491131292195,-0.003926610745878717,0.1603571822250765
Normal–Gaussian (NG),50,Exponential,--,A,0.5,phi21,-0.04305175903770803,0.925,0.14996274458602907,0.14834657451738245,-0.0043051759037708035,0.0016161700686466163,0.1484090317689719
Normal–Gaussian (NG),50,Exponential,--,A,0.5,phi22,-0.17902294850494685,0.94,0.14887084738222142,0.13772017544778503,-0.07160917940197874,0.01115067193443639,0.15522474448358248
Normal–Gaussian (NG),50,Exponential,--,A,0.5,rho,-0.16438155400513377,0.87,0.1144499556171346,0.13127829484619,-0.08219077700256688,-0.016828339229055397,0.15488484277684783
Normal–Gaussian (NG),50,Exponential,--,B,0.3,sigma[1],0.0025912209000783664,0.68,0.10526366149887123,0.20558056207319012,0.0025912209000783664,-0.10031690057431888,0.20559689182495383
Normal–Gaussian (NG),50,Exponential,--,B,0.3,sigma[2],-0.0027065839705657123,0.72,0.10468793081661931,0.20588107417779572,-0.0027065839705657123,-0.10119314336117641,0.2058988642547422
Normal–Gaussian (NG),50,Exponential,--,B,0.3,mu[1],0.0191421792402168,0.92,0.1499094977630006,0.17399197962113827,0.0191421792402168,-0.02408248185813766,0.17504180071784906
Normal–Gaussian (NG),50,Exponential,--,B,0.3,mu[2],0.007643956219594386,0.93,0.14910586444283225,0.14931008536189555,0.007643956219594386,-2.0422091906330264e-4,0.1495056241666634
Normal–Gaussian (NG),50,Exponential,--,B,0.3,phi11,-0.14894682345051585,0.93,0.12759615728705895,0.12290513807253874,-0.08192075289778372,0.004691019214520212,0.14770471461659423
Normal–Gaussian (NG),50,Exponential,--,B,0.3,phi12,0.025974422858655644,0.95,0.14836188514392692,0.14710750356792485,0.0025974422858655644,0.0012543815760020782,0.14713043299200687
Normal–Gaussian (NG),50,Exponential,--,B,0.3,phi21,-0.1445327038561523,0.935,0.130089056039647,0.14578487225962986,-0.014453270385615235,-0.015695816219982867,0.14649957680688466
