condition_id,Model,param,mcmc_status,dgp_level,direction,T,rho,VARset,N_valid,mean_rel_bias,coverage_95,RMSE,mean_post_sd,emp_sd,sd_bias
4,Normal (NG),rho,Clean,Exponential,++,100,0.3,A,200,-0.1717971034279618,0.915,0.11000042207202954,0.09219986549285356,0.0971792716008061,-0.0049794061079525415
4,Exponential (EG),mu[1],Clean,Exponential,++,100,0.3,A,200,0.02077753589063428,0.96,0.09850840558430574,0.10065256519914771,0.09629226330851032,0.004360301890637394
4,Exponential (EG),mu[2],Clean,Exponential,++,100,0.3,A,200,0.00728929398917485,0.95,0.09722071196275293,0.09928259070230479,0.09694706301731863,0.002335527684986155
4,Exponential (EG),phi11,Clean,Exponential,++,100,0.3,A,200,-0.010056870174552266,0.95,0.024944800622347503,0.023099173056518034,0.024618297586458338,-0.0015191245299403036
4,Exponential (EG),phi12,Clean,Exponential,++,100,0.3,A,200,0.006308972401671105,0.94,0.026577192001439837,0.02241047827940305,0.0265697027336353,-0.004159224454232249
4,Exponential (EG),phi21,Clean,Exponential,++,100,0.3,A,200,0.005352289349589872,0.955,0.02342134011243599,0.021443874825145624,0.023415223736910688,-0.001971348911765064
4,Exponential (EG),phi22,Clean,Exponential,++,100,0.3,A,200,-0.005975031462582078,0.96,0.023775985506254045,0.02174339592445204,0.023655555935910427,-0.0019121600114583859
4,Exponential (EG),rho,Clean,Exponential,++,100,0.3,A,200,-0.04868571578652923,0.95,0.08803911648067818,0.08933259669145888,0.08681911729423547,0.002513479397223406
5,Normal (NG),sigma[1],Clean,Exponential,--,100,0.3,A,200,-8.363513255256423e-4,0.655,0.14299294468199877,0.0725594645945335,0.1429904987937641,-0.07043103419923061
5,Normal (NG),sigma[2],Clean,Exponential,--,100,0.3,A,200,0.0016859677830849296,0.7,0.13783351921036702,0.07268216286364745,0.13782320751799754,-0.06514104465435008
5,Normal (NG),mu[1],Clean,Exponential,--,100,0.3,A,200,0.006377009263261415,0.945,0.11058873322832412,0.10280543692501316,0.11040471760709193,-0.007599280682078768
5,Normal (NG),mu[2],Clean,Exponential,--,100,0.3,A,200,0.0010000931433177876,0.94,0.1075796025920941,0.10283969406729834,0.1075749539046036,-0.0047352598373052585
5,Normal (NG),phi11,Clean,Exponential,--,100,0.3,A,200,-0.07831467939848903,0.975,0.09132489927043061,0.09605971120366572,0.0857841884339311,0.010275522769734619
5,Normal (NG),phi12,Clean,Exponential,--,100,0.3,A,200,-0.035186483875947513,0.95,0.10618809523581908,0.0980691092132645,0.10612978226367875,-0.008060673050414247
5,Normal (NG),phi21,Clean,Exponential,--,100,0.3,A,200,-0.08436044123899536,0.955,0.09874108917292113,0.09766263796696449,0.09838005819572573,-7.174202287612425e-4
5,Normal (NG),phi22,Clean,Exponential,--,100,0.3,A,200,-0.1102358411921211,0.965,0.09735224786960134,0.09693067964673183,0.0867937189889382,0.010136960657793626
5,Normal (NG),rho,Clean,Exponential,--,100,0.3,A,200,-0.22558229733410198,0.89,0.11701320543250272,0.09318912337812114,0.09545798388422666,-0.002268860506105516
5,Exponential (EG),mu[1],Clean,Exponential,--,100,0.3,A,200,-0.005745736924833171,0.935,0.09794359978826107,0.09913054893296067,0.09777492135856548,0.0013556275743951823
5,Exponential (EG),mu[2],Clean,Exponential,--,100,0.3,A,200,-0.010276793161644286,0.965,0.09387045443075845,0.09962666521013555,0.09330621489134515,0.006320450318790402
