condition_id,Model,param,dgp_level,direction,T,rho,VARset,N_valid,N_truth_avail,mean_rel_bias,coverage_95,RMSE,mean_post_sd,emp_sd,sd_bias,mean_n_div,prop_div,mean_rhat
6,Exponential (EG),phi21,Exponential,+-,100,0.3,A,200,200,0.01901966072497041,0.965,0.021275408464430105,0.02128591944792367,0.02119022251859131,9.56969293323534e-5,0,0,1.0018109106596012
6,Exponential (EG),phi22,Exponential,+-,100,0.3,A,200,200,-0.00685804605196258,0.98,0.0211917928419113,0.02135324521114133,0.02101349177434223,3.3975343679909856e-4,0,0,1.0018109106596012
6,Exponential (EG),rho,Exponential,+-,100,0.3,A,200,200,-1.880283772911656,0,0.5708511596347365,0.0912601960903644,0.08762996322938463,0.00363023286097978,0,0,1.0018109106596012
6,Normal (NG),mu[1],Exponential,+-,100,0.3,A,200,200,-0.00345126333655998,0.945,0.09925381909693212,0.10098979263119384,0.09919379711810736,0.00179599551308645,0,0,1.0008506518156104
6,Normal (NG),mu[2],Exponential,+-,100,0.3,A,200,200,-0.01033645890607813,0.945,0.10845541003078943,0.10390439128637628,0.10796172276427243,-0.00405733147789615,0,0,1.0008506518156104
6,Normal (NG),phi11,Exponential,+-,100,0.3,A,200,200,-0.09795303903088796,0.955,0.09866306818446069,0.0948130870746082,0.09054961825822168,0.00426346881638652,0,0,1.0008506518156104
6,Normal (NG),phi12,Exponential,+-,100,0.3,A,200,200,-0.087817676546451,0.96,0.08859661921575049,0.09361176523583715,0.08816031699875243,0.00545144823708472,0,0,1.0008506518156104
6,Normal (NG),phi21,Exponential,+-,100,0.3,A,200,200,0.07099038180474306,0.95,0.10352019815243324,0.09876200722048806,0.1032764982095695,-0.00451449098908143,0,0,1.0008506518156104
6,Normal (NG),phi22,Exponential,+-,100,0.3,A,200,200,-0.09315251332125232,0.955,0.09442874283384683,0.09484843278331229,0.08676638147975405,0.00808205130355824,0,0,1.0008506518156104
6,Normal (NG),rho,Exponential,+-,100,0.3,A,200,200,-1.781800097453451,0,0.5447444370824313,0.09260196611844727,0.10494502787933065,-0.01234306176088335,0,0,1.0008506518156104
6,Normal (NG),sigma[1],Exponential,+-,100,0.3,A,200,200,-0.01346711781596485,0.69,0.14601591094147767,0.0715977950367268,0.1453935451999175,-0.07379575016319072,0,0,1.0008506518156104
6,Normal (NG),sigma[2],Exponential,+-,100,0.3,A,200,200,0.01406419373134263,0.755,0.1289457996882025,0.07353202228254886,0.12817650998493174,-0.05464448770238288,0,0,1.0008506518156104
7,Exponential (EG),mu[1],Exponential,++,200,0.3,A,200,200,0.01050301994692312,0.92,0.07447826104764999,0.07089060245660014,0.07373396734664718,-0.00284336489004703,0,0,1.0017217253968864
7,Exponential (EG),mu[2],Exponential,++,200,0.3,A,200,200,0.00489540722504285,0.98,0.0631434881989058,0.07039235737997955,0.06295343588737913,0.00743892149260042,0,0,1.0017217253968864
7,Exponential (EG),phi11,Exponential,++,200,0.3,A,200,200,-3.241928800260654e-4,0.975,0.010065772118272172,0.01028186244821537,0.0100649367694602,2.1692567875516988e-4,0,0,1.0017217253968864
7,Exponential (EG),phi12,Exponential,++,200,0.3,A,200,200,-0.01082605325376795,0.975,0.009823086794363573,0.01072580967193086,0.00976324740437657,9.625622675542948e-4,0,0,1.0017217253968864
7,Exponential (EG),phi21,Exponential,++,200,0.3,A,200,200,0.02375829075078548,0.945,0.012406678873018794,0.01098091787677568,0.01217707341130135,-0.00119615553452566,0,0,1.0017217253968864
7,Exponential (EG),phi22,Exponential,++,200,0.3,A,200,200,-0.00507680749053728,0.965,0.010045563460981158,0.01037191324063347,0.0098381659551587,5.337472854747751e-4,0,0,1.0017217253968864
7,Exponential (EG),rho,Exponential,++,200,0.3,A,200,200,-0.04378067561951149,0.975,0.06186302760887364,0.06337500672928928,0.06045268318894689,0.00292232354034238,0,0,1.0017217253968864
7,Normal (NG),mu[1],Exponential,++,200,0.3,A,200,200,0.00573658660708801,0.925,0.078633252097619,0.07175501532237841,0.07842372032457451,-0.0066687050021961,0,0,1.000759860177593
7,Normal (NG),mu[2],Exponential,++,200,0.3,A,200,200,-1.905134331071604e-4,0.96,0.06762921522738341,0.0715032718093397,0.0676289468859567,0.00387432492338299,0,0,1.000759860177593
7,Normal (NG),phi11,Exponential,++,200,0.3,A,200,200,-0.02456593005294895,0.97,0.06492090820033619,0.06780576132197859,0.06417294394414096,0.00363281737783763,0,0,1.000759860177593
7,Normal (NG),phi12,Exponential,++,200,0.3,A,200,200,-0.07530858955216321,0.965,0.06936824329439073,0.06895511320804266,0.06895824346041901,-3.13025237634601e-6,0,0,1.000759860177593
7,Normal (NG),phi21,Exponential,++,200,0.3,A,200,200,0.01276737299905692,0.94,0.06919392840096351,0.06808770859647499,0.06918214848806514,-0.00109443989159015,0,0,1.000759860177593
7,Normal (NG),phi22,Exponential,++,200,0.3,A,200,200,-0.05284327694599242,0.93,0.06941286207552416,0.06803807716147692,0.0661162575662991,0.00192181959517781,0,0,1.000759860177593
7,Normal (NG),rho,Exponential,++,200,0.3,A,200,200,-0.15979241902242042,0.88,0.08698080852454532,0.06576504074803166,0.07257847825388945,-0.00681343750585779,0,0,1.000759860177593
7,Normal (NG),sigma[1],Exponential,++,200,0.3,A,200,200,0.00213844555362971,0.635,0.10243353012710239,0.05079436974907538,0.1024112061491034,-0.05161683640002804,0,0,1.000759860177593
7,Normal (NG),sigma[2],Exponential,++,200,0.3,A,200,200,-0.00360020120116438,0.71,0.09305502162484568,0.05051426126772158,0.09298535153943135,-0.04247109027170977,0,0,1.000759860177593
8,Exponential (EG),mu[1],Exponential,--,200,0.3,A,200,200,3.796741720340943e-4,0.93,0.07217825274310834,0.07019676554614519,0.07217725414956651,-0.00198048860342131,0,0,1.0018357843900974
8,Exponential (EG),mu[2],Exponential,--,200,0.3,A,200,200,0.00221059482660308,0.94,0.06963790969828375,0.0700495138067505,0.06960281415042725,4.466996563232406e-4,0,0,1.0018357843900974
8,Exponential (EG),phi11,Exponential,--,200,0.3,A,200,200,-3.2799218238218145e-4,0.94,0.012096316842795777,0.01056465340906852,0.01209560534003289,-0.00153095193096437,0,0,1.0018357843900974
8,Exponential (EG),phi12,Exponential,--,200,0.3,A,200,200,-0.0010413529089588,0.95,0.011192945936369847,0.01066687585426389,0.01119246150655379,-5.255856522899012e-4,0,0,1.0018357843900974
8,Exponential (EG),phi21,Exponential,--,200,0.3,A,200,200,2.18140762031444e-6,0.955,0.010755990214263801,0.01051694176337045,0.01075599021205176,-2.3904844868131295e-4,0,0,1.0018357843900974
8,Exponential (EG),phi22,Exponential,--,200,0.3,A,200,200,-0.00266605497058355,0.935,0.011591469488752476,0.01014372470421433,0.01154230951983579,-0.00139858481562145,0,0,1.0018357843900974
8,Exponential (EG),rho,Exponential,--,200,0.3,A,200,200,-0.0391706286851973,0.925,0.06729882855498392,0.06292411610933363,0.06626493711782798,-0.00334082100849435,0,0,1.0018357843900974
8,Normal (NG),mu[1],Exponential,--,200,0.3,A,200,200,0.00667257502530564,0.92,0.07610334628451364,0.07131373133757327,0.07581026354150382,-0.00449653220393055,0,0,1.0008919141122168
8,Normal (NG),mu[2],Exponential,--,200,0.3,A,200,200,0.00827525922784361,0.93,0.07308802049954935,0.07109943087298749,0.0726180337468217,-0.0015186028738342,0,0,1.0008919141122168
8,Normal (NG),phi11,Exponential,--,200,0.3,A,200,200,-0.05255979809649159,0.955,0.06886524115334727,0.06814803436389562,0.06557755911100718,0.00257047525288843,0,0,1.0008919141122168
8,Normal (NG),phi12,Exponential,--,200,0.3,A,200,200,0.01262356996339008,0.945,0.07207845554853863,0.06879660743821858,0.07206740046010023,-0.00327079302188164,0,0,1.0008919141122168
8,Normal (NG),phi21,Exponential,--,200,0.3,A,200,200,-0.11037600095403004,0.955,0.06926232647355558,0.06850672263700203,0.06837719833879828,1.2952429820374534e-4,0,0,1.0008919141122168
8,Normal (NG),phi22,Exponential,--,200,0.3,A,200,200,-0.0303649204491365,0.955,0.06756954669617266,0.06801417797452093,0.06646893332757098,0.00154524464694995,0,0,1.0008919141122168
8,Normal (NG),rho,Exponential,--,200,0.3,A,200,200,-0.15291080395478077,0.825,0.09177935753463867,0.0656770991069326,0.07949274314377552,-0.01381564403684292,0,0,1.0008919141122168
8,Normal (NG),sigma[1],Exponential,--,200,0.3,A,200,200,-0.00491405860511956,0.705,0.09806850594605489,0.05039081602999767,0.09794531069181849,-0.04755449466182079,0,0,1.0008919141122168
8,Normal (NG),sigma[2],Exponential,--,200,0.3,A,200,200,-0.00739533063998948,0.67,0.09578985458704926,0.05023831071311937,0.09550395450730444,-0.04526564379418506,0,0,1.0008919141122168
9,Exponential (EG),mu[1],Exponential,+-,200,0.3,A,200,200,0.00357635582321954,0.94,0.07354486524974854,0.07028990507337708,0.07345785787531103,-0.00316795280193395,0,0,1.0017481433160171
9,Exponential (EG),mu[2],Exponential,+-,200,0.3,A,200,200,-0.00421988112060883,0.955,0.06923375811719336,0.07044597171524308,0.06910503502899022,0.00134093668625286,0,0,1.0017481433160171
9,Exponential (EG),phi11,Exponential,+-,200,0.3,A,200,200,-0.00150533614642556,0.95,0.009826610856254919,0.01029244115277283,0.00980814534017871,4.8429581259412137e-4,0,0,1.0017481433160171
9,Exponential (EG),phi12,Exponential,+-,200,0.3,A,200,200,-0.01075330958881097,0.945,0.01095678509965441,0.00990705968314134,0.01090388935421122,-9.968296710698814e-4,0,0,1.0017481433160171
9,Exponential (EG),phi21,Exponential,+-,200,0.3,A,200,200,0.02213108248528527,0.93,0.011832267301817032,0.01040723349933177,0.01162345479545318,-0.00121622129612141,0,0,1.0017481433160171
9,Exponential (EG),phi22,Exponential,+-,200,0.3,A,200,200,0.00152877467259238,0.95,0.011863472590004311,0.01003529046332087,0.01184770178447508,-0.0018124113211542,0,0,1.0017481433160171
9,Exponential (EG),rho,Exponential,+-,200,0.3,A,200,200,-1.961466770881019,0,0.5918931067362785,0.06318002422441504,0.06384183117350613,-6.618069490910844e-4,0,0,1.0017481433160171
9,Normal (NG),mu[1],Exponential,+-,200,0.3,A,200,200,-6.462425593387507e-4,0.93,0.07981009877120138,0.07136954805468272,0.07980748233357207,-0.00843793427888935,0,0,1.0007786163891417
9,Normal (NG),mu[2],Exponential,+-,200,0.3,A,200,200,-0.00149670856905341,0.94,0.07605138406990515,0.0710497450119978,0.07603665486071534,-0.00498690984871753,0,0,1.0007786163891417
9,Normal (NG),phi11,Exponential,+-,200,0.3,A,200,200,-0.04371954682558864,0.94,0.06716616420247126,0.06672261168255741,0.06484959375147818,0.00187301793107923,0,0,1.0007786163891417
9,Normal (NG),phi12,Exponential,+-,200,0.3,A,200,200,-0.01204798550067043,0.945,0.065955280007024,0.0677272365623821,0.06594427512118618,0.00178296144119591,0,0,1.0007786163891417
9,Normal (NG),phi21,Exponential,+-,200,0.3,A,200,200,-0.04528658980516254,0.955,0.06668547303823036,0.06688851098239566,0.06653152307117835,3.56987911217313e-4,0,0,1.0007786163891417
