condition_id,model,param,T,tvp_pattern,margin_type,direction,VARset,N_valid,mean_bias,mean_rel_bias,coverage_95,mean_post_sd,emp_sd,sd_bias,RMSE,mean_n_div,prop_div,mean_rhat
3,TVP_NG,phi12,100,linear,normal,++,A,200,0.008005819012289982,0.08005819012289982,0.95,0.10048207888654698,0.09588612910420599,0.004595949782340986,0.0959805821188487,NA,NA,1.0028299194408736
3,TVP_NG,phi21,100,linear,normal,++,A,200,-0.013031404685530516,-0.13031404685530515,0.945,0.10053247634139355,0.10711160504343903,-0.006579128702045481,0.10763525892283081,NA,NA,1.0028299194408736
3,TVP_NG,phi22,100,linear,normal,++,A,200,-0.03270638680427495,-0.08176596701068738,0.96,0.10012304579218997,0.09425645376947735,0.005866592022712627,0.0995468001474808,NA,NA,1.0028299194408736
3,TVP_NG,rho_change,100,linear,normal,++,A,200,NA,NA,NA,0.2608185687798237,0.17124730336444632,0.08957126541537735,NA,NA,NA,1.0028299194408736
3,TVP_NG,rho_end,100,linear,normal,++,A,200,0.058037808476485764,0.29018904238242876,0.99,0.20050907951495256,0.14147407210952956,0.059035007405423,0.15258841937253742,NA,NA,1.0028299194408736
3,TVP_NG,rho_mean,100,linear,normal,++,A,200,-0.021602208541719944,-0.05918413299101355,0.955,0.08812532568444208,0.08865098064898022,-5.256549645381442e-4,0.09102942821997563,NA,NA,1.0028299194408736
3,TVP_NG,rho_range,100,linear,normal,++,A,200,0.1714566971416361,0.5195657489140488,0.98,0.29938542381479183,0.16931263290375392,0.1300727909110379,0.24066747353395318,NA,NA,1.0028299194408736
3,TVP_NG,rho_sd,100,linear,normal,++,A,200,0.030944441160817977,0.31998810526404026,0.98,0.07681740022319049,0.048911689022809554,0.027905711200380934,0.057774994549580315,NA,NA,1.0028299194408736
3,TVP_NG,rho_start,100,linear,normal,++,A,200,-0.12881155687295914,-0.24304067334520593,0.97,0.17603931568751097,0.11889352743162225,0.057145788255888716,0.175092574642227,NA,NA,1.0028299194408736
3,TVP_NG,sigma[1],100,linear,normal,++,A,200,0.006345915693430302,0.006345915693430302,0.95,0.07301607463587555,0.07012323333368436,0.002892841302191182,0.07023497817962653,NA,NA,1.0028299194408736
3,TVP_NG,sigma[2],100,linear,normal,++,A,200,0.003264141712488074,0.003264141712488074,0.965,0.07283643059389015,0.06863472734447747,0.004201703249412686,0.06854069440691211,NA,NA,1.0028299194408736
3,TVP_NG,sigma_z,100,linear,normal,++,A,200,NA,NA,NA,0.035106424899857144,0.013902887294795474,0.02120353760506167,NA,NA,NA,1.0028299194408736
3,TVP_NG,z0,100,linear,normal,++,A,200,NA,NA,NA,0.22576696983845246,0.1582047346946843,0.06756223514376816,NA,NA,NA,1.0028299194408736
4,Const_NG,mu[1],200,linear,normal,++,A,200,-0.00800519802151863,-0.00800519802151863,0.94,0.07189497071927871,0.07271117809533689,-8.162073760581839e-4,0.07296961037497367,NA,NA,1.0012986096382692
4,Const_NG,mu[2],200,linear,normal,++,A,200,-0.010808972960171638,-0.010808972960171638,0.955,0.07201379275579108,0.06988792404173154,0.0021258687140595367,0.07054597234202846,NA,NA,1.0012986096382692
4,Const_NG,phi11,200,linear,normal,++,A,200,-0.028788912253193813,-0.07197228063298454,0.945,0.0722038398025079,0.06901319515397616,0.0031906446485317347,0.07461774901828712,NA,NA,1.0012986096382692
4,Const_NG,phi12,200,linear,normal,++,A,200,-0.0043173613893634265,-0.043173613893634256,0.96,0.071738545183019,0.06724358889442253,0.0044949562885964744,0.06721407111261347,NA,NA,1.0012986096382692
4,Const_NG,phi21,200,linear,normal,++,A,200,-0.011440167530194317,-0.11440167530194316,0.95,0.07250331756320849,0.07130559526180212,0.0011977223014063704,0.0720412583814348,NA,NA,1.0012986096382692
4,Const_NG,phi22,200,linear,normal,++,A,200,-0.016359370362177463,-0.04089842590544366,0.955,0.07198641444582853,0.06725914469047559,0.004727269755352939,0.06905651729140957,NA,NA,1.0012986096382692
4,Const_NG,rho,200,linear,normal,++,A,200,-0.008043266342263083,-0.020158562261310985,0.96,0.05967669285620068,0.060159836992637244,-4.831441364365613e-4,0.060545884174717964,NA,NA,1.0012986096382692
4,Const_NG,sigma[1],200,linear,normal,++,A,200,0.0042058731331128495,0.0042058731331128495,0.95,0.050790831617847365,0.04838964059357268,0.0024011910242746834,0.04845140760600358,NA,NA,1.0012986096382692
4,Const_NG,sigma[2],200,linear,normal,++,A,200,0.0058456365750853,0.0058456365750853,0.965,0.050871802063865386,0.04909793349345423,0.0017738685704111537,0.049322667252785425,NA,NA,1.0012986096382692
4,TVP_NG,mu[1],200,linear,normal,++,A,200,-0.007324565507177579,-0.007324565507177579,0.95,0.07159543775028118,0.07246887464057321,-8.734368902920259e-4,0.07265761049320088,NA,NA,1.0039029998810436
4,TVP_NG,mu[2],200,linear,normal,++,A,200,-0.010256654590803424,-0.010256654590803424,0.955,0.07170883668838078,0.06861496650596191,0.0030938701824188702,0.06920746003044939,NA,NA,1.0039029998810436
4,TVP_NG,phi11,200,linear,normal,++,A,200,-0.029077849803876316,-0.07269462450969079,0.95,0.07194161247957445,0.0695996843470533,0.002341928132521154,0.07526896325923586,NA,NA,1.0039029998810436
4,TVP_NG,phi12,200,linear,normal,++,A,200,-0.0037098255700614416,-0.03709825570061441,0.95,0.07167603473489258,0.06724734910120012,0.004428685633692461,0.067181528243210345,NA,NA,1.0039029998810436
4,TVP_NG,phi21,200,linear,normal,++,A,200,-0.011055002670853551,-0.1105500267085355,0.95,0.07217003344515195,0.07153269954330957,6.373339018423824e-4,0.07220495517958732,NA,NA,1.0039029998810436
4,TVP_NG,phi22,200,linear,normal,++,A,200,-0.01735267289952387,-0.04338168224880967,0.955,0.07157589623139467,0.06724266229698762,0.004333233934407044,0.06928263138320208,NA,NA,1.0039029998810436
4,TVP_NG,rho_change,200,linear,normal,++,A,200,NA,NA,NA,0.22103295552896343,0.16083317830183194,0.06019977722713149,NA,NA,NA,1.0039029998810436
4,TVP_NG,rho_end,200,linear,normal,++,A,200,0.06875265430501638,0.3437632715250819,0.98,0.17444728937447207,0.12843856609376425,0.04600872328070782,0.14539914170278387,NA,NA,1.0039029998810436
4,TVP_NG,rho_mean,200,linear,normal,++,A,200,-0.0033937556122766326,-0.008505653163600583,0.965,0.059475320906708526,0.05866995848883638,8.053624178721436e-4,0.05862141917501004,NA,NA,1.0039029998810436
4,TVP_NG,rho_range,200,linear,normal,++,A,200,0.1378233942058953,0.34628993519069173,0.98,0.2515707382727164,0.17596578501922389,0.07560495325349254,0.22316905184271893,NA,NA,1.0039029998810436
4,TVP_NG,rho_sd,200,linear,normal,++,A,200,0.016573807362986588,0.14317588872551978,0.985,0.06049407197229432,0.047242375113142936,0.013251696859151382,0.04995371744729957,NA,NA,1.0039029998810436
4,TVP_NG,rho_start,200,linear,normal,++,A,200,-0.09023970857591945,-0.15090252270220644,0.95,0.13540868573148063,0.10002558870039539,0.035383097031085234,0.13452991417061572,NA,NA,1.0039029998810436
4,TVP_NG,sigma[1],200,linear,normal,++,A,200,0.006945940573493339,0.006945940573493339,0.95,0.05088950452379721,0.04894677189858408,0.001942732625213127,0.04931585584115986,NA,NA,1.0039029998810436
4,TVP_NG,sigma[2],200,linear,normal,++,A,200,0.008326450069722057,0.008326450069722057,0.965,0.050795422116257836,0.04922279489370007,0.001572627222557764,0.049800591263810354,NA,NA,1.0039029998810436
4,TVP_NG,sigma_z,200,linear,normal,++,A,200,NA,NA,NA,0.022572255741932844,0.011165907898188531,0.011406347843744313,NA,NA,NA,1.0039029998810436
4,TVP_NG,z0,200,linear,normal,++,A,200,NA,NA,NA,0.193020680935964,0.14780293425069924,0.045217746685264765,NA,NA,NA,1.0039029998810436
5,Const_NG,mu[1],100,step,normal,++,A,200,3.2791195999276894e-4,3.2791195999276894e-4,0.945,0.10183817877661297,0.10849776872899995,-0.006659589952386982,0.1082266811665645,NA,NA,1.0012662470451659
5,Const_NG,mu[2],100,step,normal,++,A,200,0.005668696371488709,0.005668696371488709,0.95,0.10176083876158366,0.10522435950461842,-0.0034635207430347564,0.10511393400754976,NA,NA,1.0012662470451659
5,Const_NG,phi11,100,step,normal,++,A,200,-0.041206095081553505,-0.10301523770388375,0.93,0.11394262393994824,0.11078483899466633,0.003157784945281905,0.11794005435045721,NA,NA,1.0012662470451659
5,Const_NG,phi12,100,step,normal,++,A,200,0.007213968513393667,0.07213968513393666,0.97,0.11307580644695697,0.10010564940104509,0.012970157045911881,0.10011531690259573,NA,NA,1.0012662470451659
5,Const_NG,phi21,100,step,normal,++,A,200,-0.0152353854273392,-0.152353854273392,0.945,0.1142238243019762,0.11819830162107953,-0.003974477319103331,0.11888272070699228,NA,NA,1.0012662470451659
5,Const_NG,phi22,100,step,normal,++,A,200,-0.01309871175623107,-0.03274677939057767,0.95,0.11285238476007228,0.11070284066631707,0.002149544093755215,0.11119990821312242,NA,NA,1.0012662470451659
5,Const_NG,rho,100,step,normal,++,A,200,-0.03019783811899919,-0.050329730198331986,0.95,0.0680258491223673,0.06571495726852782,0.0023108918538394807,0.07217182800665156,NA,NA,1.0012662470451659
5,Const_NG,sigma[1],100,step,normal,++,A,200,-0.0063300359972212,-0.0063300359972212,0.93,0.07141356617236125,0.07163788798205865,-2.243218096974059e-4,0.07173838871401733,NA,NA,1.0012662470451659
5,Const_NG,sigma[2],100,step,normal,++,A,200,-0.006396151767772132,-0.006396151767772132,0.945,0.07141744766428042,0.07062411220956852,7.933354547118993e-4,0.07073709887109558,NA,NA,1.0012662470451659
5,TVP_NG,mu[1],100,step,normal,++,A,200,-2.371350622016723e-4,-2.371350622016723e-4,0.94,0.10138665072613044,0.10745876689129939,-0.00607211616516895,0.10719004562890788,NA,NA,1.002841085652277
5,TVP_NG,mu[2],100,step,normal,++,A,200,0.00622711967649317,0.00622711967649317,0.945,0.10160443530177407,0.10487650063139274,-0.0032720653296186702,0.10479915077054994,NA,NA,1.002841085652277
5,TVP_NG,phi11,100,step,normal,++,A,200,-0.043201360370897536,-0.10800340092724384,0.95,0.11326885219041985,0.10921881779420999,0.0040500343962098645,0.11719839566930587,NA,NA,1.002841085652277
5,TVP_NG,phi12,100,step,normal,++,A,200,0.008366090482704898,0.08366090482704898,0.97,0.11230934485725698,0.0998229018426158,0.012486443014641177,0.09992387174035998,NA,NA,1.002841085652277
