condition_id,model,param,T,tvp_pattern,N,mean_estimate,mean_truth,mean_bias,coverage_95,RMSE
15,TVP_NG,rho_mean,100,random_walk,200,0.4178659324352297,0.4235504290495541,-0.005684496614324422,0.915,0.0856150201954403
15,TVP_NG,rho_range,100,random_walk,200,0.6771030622636146,0.49799640130095807,0.17910666096265657,0.875,0.33700619657335207
15,TVP_NG,rho_sd,100,random_walk,200,0.17050233332388243,0.13046983019682362,0.040032503127058805,0.865,0.08699039749687518
15,TVP_NG,rho_start,100,random_walk,200,0.37427764658379903,0.46055446483962725,-0.08627681825582822,0.95,0.21570156651913025
16,TVP_EG,rho_end,200,random_walk,200,0.39664633213953054,0.3788249511668789,0.017821380972651638,0.945,0.16220991254347303
16,TVP_EG,rho_mean,200,random_walk,200,0.41050680989855903,0.39248575698572086,0.018021052912838162,0.905,0.059075100337384945
16,TVP_EG,rho_range,200,random_walk,200,0.6747602555689365,0.6982765302633933,-0.023516274694456902,0.975,0.20743941954756354
16,TVP_EG,rho_sd,200,random_walk,200,0.17014596566156348,0.17632267188447198,-0.006176706222908516,0.96,0.05411555782567176
16,TVP_EG,rho_start,200,random_walk,200,0.4070808556305357,0.4409933591798414,-0.033912503549305716,0.92,0.18987121405622767
16,TVP_NG,rho_end,200,random_walk,200,0.3783590753273887,0.3788249511668789,-4.6587583949017863e-4,0.905,0.18902537264107797
16,TVP_NG,rho_mean,200,random_walk,200,0.3994902109127309,0.39248575698572086,0.007004453927010048,0.86,0.07038741428803906
16,TVP_NG,rho_range,200,random_walk,200,0.8293369489359547,0.6982765302633933,0.13106041867256135,0.79,0.3533586321473761
16,TVP_NG,rho_sd,200,random_walk,200,0.19846860728898985,0.17632267188447198,0.022145935404517852,0.805,0.0840478787798085
16,TVP_NG,rho_start,200,random_walk,200,0.3626717111634056,0.4409933591798414,-0.07832164801643583,0.91,0.2330610724591879
