condition_id,Model,param,mcmc_status,skew_level,direction,T,rho,VARset,N_valid,mean_rel_bias,coverage_95,RMSE,mean_post_sd,emp_sd,sd_bias
91,SG,alpha[2],Problematic,moderateSN,++,100,0.5,B,26,0.45640184481330004,0.8076923076923077,5.34711606949316,7.896021283313575,5.025814158666061,2.8702071246475134
91,SG,mu[1],Clean,moderateSN,++,100,0.5,B,174,-0.00907465387291378,0.9252873563218391,0.12088019070196655,0.09853684303201457,0.12053908561637014,-0.02200224258435557
91,SG,mu[1],Problematic,moderateSN,++,100,0.5,B,26,0.02280329145877988,0.9615384615384616,0.08646981779149875,0.09829850650864545,0.08340886815885305,0.0148896383497924
91,SG,mu[2],Clean,moderateSN,++,100,0.5,B,174,0.005625416931487323,0.9137931034482759,0.1122385846294125,0.10022009419718339,0.11209752255942468,-0.011877428362241288
91,SG,mu[2],Problematic,moderateSN,++,100,0.5,B,26,0.002378312523339298,1,0.08187944959149872,0.09759649353371487,0.08184490145970064,0.015751592074014234
91,SG,phi11,Clean,moderateSN,++,100,0.5,B,174,-0.07126571699080397,0.9425287356321839,0.08773025350218074,0.08688305727711834,0.07848732157519042,0.00839573570192792
91,SG,phi11,Problematic,moderateSN,++,100,0.5,B,26,-0.07659552818291121,0.9615384615384616,0.08623196045674861,0.08110424127255861,0.0752410880808117,0.005863153191746906
91,SG,phi12,Clean,moderateSN,++,100,0.5,B,174,0.006076655705525161,0.9425287356321839,0.10043869125132955,0.09841922689868571,0.10043685301140348,-0.002017626112717774
91,SG,phi12,Problematic,moderateSN,++,100,0.5,B,26,-0.17877491370117593,0.9230769230769231,0.10833946656194074,0.09378395760268418,0.10685427140380138,-0.0130703138011172
91,SG,phi21,Clean,moderateSN,++,100,0.5,B,174,-0.11270432669134849,0.9770114942528736,0.07361084568818302,0.08733085638450472,0.07274293058696488,0.014587925797539841
91,SG,phi21,Problematic,moderateSN,++,100,0.5,B,26,0.17828733598551333,1,0.06904713736111162,0.07926995848795888,0.0667056477071927,0.012564310780766183
91,SG,phi22,Clean,moderateSN,++,100,0.5,B,174,-0.11113277698698718,0.9137931034482759,0.10718804752503634,0.0994411087013679,0.10352473931228702,-0.004083630610919126
91,SG,phi22,Problematic,moderateSN,++,100,0.5,B,26,-0.08120863185376312,0.9230769230769231,0.09556965054515391,0.09170046168806911,0.09338833164453864,-0.0016878699564695232
91,SG,rho,Clean,moderateSN,++,100,0.5,B,174,-0.07902310044106728,0.9425287356321839,0.08153561252343788,0.07775286843299535,0.07132246146020516,0.006430406972790195
91,SG,rho,Problematic,moderateSN,++,100,0.5,B,26,-0.08408122415066815,0.9615384615384616,0.08618780221945015,0.07786720289637292,0.07523911341682815,0.002628089479544765
92,NG,sigma[1],Clean,strongSN,++,100,0.5,B,200,0.0013859557048784932,0.945,0.07775935764954879,0.07216234428835956,0.07774700527257984,-0.00558466098422028
92,NG,sigma[2],Clean,strongSN,++,100,0.5,B,200,-0.005163617038106505,0.905,0.082077076343817,0.07170618709757598,0.08191448907386617,-0.01020830197629019
92,NG,mu[1],Clean,strongSN,++,100,0.5,B,200,-0.01416915324701825,0.92,0.10546675833972083,0.1026601610237898,0.10451063204742178,-0.0018504710236319777
92,NG,mu[2],Clean,strongSN,++,100,0.5,B,200,-0.005337623678556241,0.925,0.10818386129793466,0.10203488510966303,0.10805210603591621,-0.006017220926253175
92,NG,phi11,Clean,strongSN,++,100,0.5,B,200,-0.062032937173656405,0.955,0.09614938792415989,0.09502063814295461,0.08989248576292329,0.005128152380031323
92,NG,phi12,Clean,strongSN,++,100,0.5,B,200,-0.0011260979821705378,0.96,0.10045107515423779,0.11137231994141604,0.10045101203410384,0.010921307907312203
92,NG,phi21,Clean,strongSN,++,100,0.5,B,200,-0.15005993789260727,0.95,0.0964656165067481,0.09474214053508785,0.09529131816919977,-5.491776341119137e-4
92,NG,phi22,Clean,strongSN,++,100,0.5,B,200,-0.10450744036554574,0.94,0.1146480939997587,0.11022878838480467,0.1116314142145598,-0.0014026258297551303
92,NG,rho,Clean,strongSN,++,100,0.5,B,200,-0.08012534132473964,0.93,0.08977276165365108,0.07852395283159797,0.08033760734750407,-0.0018136545159061074
92,SG,omega[1],Clean,strongSN,++,100,0.5,B,103,-0.09268412560025333,0.8543689320388349,0.223931846853378,0.16007653061360835,0.16431638384482752,-0.004239853231219171
92,SG,omega[1],Problematic,strongSN,++,100,0.5,B,97,-0.07427391511391136,0.9175257731958762,0.20109733277919403,0.15463691225976264,0.15992598616652334,-0.0052890739067606996
92,SG,omega[2],Clean,strongSN,++,100,0.5,B,103,-0.11166927950389803,0.8058252427184466,0.28147941167284646,0.1632040484949587,0.21361590402027245,-0.05041185552531374
92,SG,omega[2],Problematic,strongSN,++,100,0.5,B,97,-0.08855535592323685,0.8762886597938144,0.21694691164067162,0.16713149490458298,0.16104829418276184,0.0060832007218211415
92,SG,alpha[1],Clean,strongSN,++,100,0.5,B,103,-0.33460942803813754,0.8737864077669902,4.070422264474157,4.273114665986646,2.738484324445578,1.5346303415410678
92,SG,alpha[1],Problematic,strongSN,++,100,0.5,B,97,-0.017179291327204218,0.8969072164948454,5.5720459895853,9.515500799124755,5.569900460328059,3.9456003387966962
92,SG,alpha[2],Clean,strongSN,++,100,0.5,B,103,-0.33966455792593625,0.7572815533980582,4.3883926066468915,4.582985429322882,3.148468946215024,1.434516483107858
92,SG,alpha[2],Problematic,strongSN,++,100,0.5,B,97,-0.11199352026019618,0.8350515463917526,4.8202394917272144,9.780762440986331,4.713678215852742,5.0670842251335895
92,SG,mu[1],Clean,strongSN,++,100,0.5,B,103,-0.01661447143226621,0.912621359223301,0.0983194003181859,0.09453186137234679,0.09690543750458022,-0.0023735761322334348
92,SG,mu[1],Problematic,strongSN,++,100,0.5,B,97,-0.011068242063751049,0.9484536082474226,0.09569262193681995,0.09462693489223034,0.09505036512692291,-4.2343023469257335e-4
92,SG,mu[2],Clean,strongSN,++,100,0.5,B,103,-0.005596913713480293,0.9223300970873787,0.09897067075493778,0.09441416089082748,0.09881228783185901,-0.004398126941031533
92,SG,mu[2],Problematic,strongSN,++,100,0.5,B,97,-0.007569841381358376,0.9278350515463918,0.1041366763439871,0.09465168547531254,0.10386118072424075,-0.00920949524892821
92,SG,phi11,Clean,strongSN,++,100,0.5,B,103,-0.024665415430730524,0.970873786407767,0.06172245358297049,0.07238451020192375,0.060213167197838584,0.01217134300408517
92,SG,phi11,Problematic,strongSN,++,100,0.5,B,97,-0.025954223299115457,0.9381443298969072,0.06778551404795667,0.0694031496433233,0.06626541592987986,0.003137733713443433
92,SG,phi12,Clean,strongSN,++,100,0.5,B,103,-0.027902946889748318,0.970873786407767,0.07022160367708605,0.08381265280049945,0.07016614481735778,0.013646507983141667
92,SG,phi12,Problematic,strongSN,++,100,0.5,B,97,0.018554532540811554,0.9587628865979382,0.07115135409286902,0.08191099440170825,0.07112715713755716,0.010783837264151094
92,SG,phi21,Clean,strongSN,++,100,0.5,B,103,-0.06488915980963102,0.970873786407767,0.0686516928843372,0.07273629739396192,0.06834434069677867,0.004391956697183258
92,SG,phi21,Problematic,strongSN,++,100,0.5,B,97,0.03962757863224408,0.9381443298969072,0.06834449496829631,0.07025676628850515,0.06822951372088865,0.0020272525676165026
92,SG,phi22,Clean,strongSN,++,100,0.5,B,103,-0.03876888814445843,0.9902912621359223,0.07887204699466324,0.08404607318158049,0.07827426543335314,0.005771807748227345
92,SG,phi22,Problematic,strongSN,++,100,0.5,B,97,-0.07646106429566048,0.9484536082474226,0.08211356875257898,0.08554240033353824,0.07985765320999576,0.005684747123542486
92,SG,rho,Clean,strongSN,++,100,0.5,B,103,-0.07784608569338804,0.9514563106796117,0.08180198427240164,0.07675436805585649,0.07194832427830872,0.004806043777547772
92,SG,rho,Problematic,strongSN,++,100,0.5,B,97,-0.06672809961189485,0.9587628865979382,0.08140250689561851,0.07613335465455794,0.07425098187524175,0.0018823727793161882
93,NG,sigma[1],Clean,extremeCHI,++,100,0.5,B,200,-0.005997019953835668,0.505,0.19471859648501785,0.07154981053173991,0.1946262252852079,-0.12307641475346799
93,NG,sigma[2],Clean,extremeCHI,++,100,0.5,B,200,-0.006957927804279888,0.565,0.1766335159921923,0.07164885134436114,0.17649641982894293,-0.1048475684845818
93,NG,mu[1],Clean,extremeCHI,++,100,0.5,B,200,0.0015826348930340483,0.91,0.11489364679747599,0.10220213780195407,0.11488274605535209,-0.01268060825339802
93,NG,mu[2],Clean,extremeCHI,++,100,0.5,B,200,9.153593058036679e-4,0.925,0.1050345404758511,0.10225306676967512,0.10503055179477294,-0.002777485025097823
93,NG,phi11,Clean,extremeCHI,++,100,0.5,B,200,-0.08824717597780944,0.935,0.10497537876416466,0.09390779800058177,0.09308110450618935,8.266934943924192e-4
93,NG,phi12,Clean,extremeCHI,++,100,0.5,B,200,-0.01714169576962599,0.96,0.10072137785067432,0.10983732314115063,0.10070679013254133,0.009130533008609304
93,NG,phi21,Clean,extremeCHI,++,100,0.5,B,200,-0.1526821712502618,0.95,0.09326393842197167,0.09576109507063825,0.09200567241100072,0.0037554226596375334
93,NG,phi22,Clean,extremeCHI,++,100,0.5,B,200,-0.11160507387275816,0.99,0.09739723356397023,0.10787160808642335,0.09331527379684733,0.01455633428957602
93,NG,rho,Clean,extremeCHI,++,100,0.5,B,200,-0.19521547514982995,0.715,0.15465633791815714,0.08261567192521135,0.11996379630439236,-0.037348124379181
