Model,param,skew_level,direction,T,rho,VARset,N_valid,mean_rel_bias,coverage_95,RMSE,mean_post_sd,emp_sd,sd_bias,mean_bias
NG,phi11,moderateSN,--,50,0.3,B,200,-0.15616960552244416,0.925,0.15307632508894448,0.12827703089107373,0.12670716330106546,0.001569867590008267,-0.0858932830373443
NG,phi12,moderateSN,--,50,0.3,B,200,0.09222407241547169,0.965,0.1316576586369212,0.14671374247662836,0.13133425403308585,0.015379488443542505,0.00922240724154717
NG,phi21,moderateSN,--,50,0.3,B,200,-0.17493665723671523,0.94,0.1304926956044858,0.12893376509320734,0.12931479136461313,-3.8102627140579326e-4,-0.017493665723671524
NG,phi22,moderateSN,--,50,0.3,B,200,-0.1920630623708562,0.965,0.13513397396201884,0.14539792058988002,0.1263157835478731,0.019082137042006925,-0.04801576559271405
NG,rho,moderateSN,--,50,0.3,B,200,-0.15506558044903113,0.945,0.1351435186684708,0.12799508165679693,0.12688455602040685,0.0011105256363900806,-0.04651967413470933
NG,sigma[1],moderateSN,--,50,0.5,B,200,-0.006271144825638453,0.93,0.1210574025854562,0.10324759545865268,0.12089486119481294,-0.017647265736160253,-0.006271144825638453
NG,sigma[2],moderateSN,--,50,0.5,B,200,-0.008088520632070566,0.91,0.11808002118246062,0.10296217369966779,0.11780266226378297,-0.014840488564115184,-0.008088520632070566
NG,mu[1],moderateSN,--,50,0.5,B,200,0.010258377641920287,0.88,0.1828615535508839,0.14887290194573882,0.18257358367299067,-0.03370068172725185,0.010258377641920287
NG,mu[2],moderateSN,--,50,0.5,B,200,0.015817765704978896,0.91,0.17372262634026053,0.14847356855805194,0.1730010092186175,-0.024527440660565558,0.015817765704978896
NG,phi11,moderateSN,--,50,0.5,B,200,-0.17039741782709447,0.945,0.15711427597920116,0.13531776293451173,0.1261020361287668,0.009215726805744923,-0.09371857980490196
NG,phi12,moderateSN,--,50,0.5,B,200,0.026859271213895326,0.95,0.15142121668891304,0.15589337442435144,0.15139739317124765,0.004495981253103798,0.0026859271213895337
NG,phi21,moderateSN,--,50,0.5,B,200,-0.3986647827893031,0.975,0.12587722406801694,0.13640339147941266,0.11939740134820909,0.017005990131203574,-0.03986647827893031
NG,phi22,moderateSN,--,50,0.5,B,200,-0.21324229765924285,0.945,0.15626168483389405,0.1544902218073535,0.14688668014047482,0.007603541666878683,-0.05331057441481071
NG,rho,moderateSN,--,50,0.5,B,200,-0.1298176517538712,0.895,0.13936215832602591,0.11295996386163634,0.12332337773741835,-0.010363413875782004,-0.0649088258769356
NG,sigma[1],strongSN,++,50,0.3,A,200,0.026879048979721758,0.895,0.1271195135592096,0.10778898160327952,0.12424527135257821,-0.01645628974929869,0.026879048979721758
NG,sigma[2],strongSN,++,50,0.3,A,200,0.007354024387994036,0.915,0.11565986657327805,0.10585963726700495,0.11542583359477751,-0.009566196327772558,0.007354024387994036
NG,mu[1],strongSN,++,50,0.3,A,200,0.02598549933146867,0.94,0.17455506919181185,0.15200653044479412,0.17261004027881016,-0.020603509834016043,0.02598549933146867
NG,mu[2],strongSN,++,50,0.3,A,200,0.008216397044938041,0.95,0.14951642643477106,0.1490490876979137,0.14929049733129113,-2.4140963337743182e-4,0.008216397044938041
NG,phi11,strongSN,++,50,0.3,A,200,-0.17021173053914201,0.935,0.1521609492557798,0.13890393738162088,0.13607876088618415,0.002825176495436732,-0.06808469221565681
NG,phi12,strongSN,++,50,0.3,A,200,-0.20463418657903729,0.935,0.14896052096519827,0.14242852680647916,0.14754824737371378,-0.005119720567234615,-0.020463418657903732
NG,phi21,strongSN,++,50,0.3,A,200,0.03134324360281531,0.965,0.1196142779267239,0.1376507979985198,0.11957320558861043,0.018077592409909388,0.0031343243602815303
NG,phi22,strongSN,++,50,0.3,A,200,-0.19568233597996984,0.94,0.148811025659328,0.13916542006149973,0.126562510639797,0.012602909421702724,-0.07827293439198794
NG,rho,strongSN,++,50,0.3,A,200,-0.1645703142104343,0.97,0.12493960345206101,0.12819831931982964,0.11477107458771726,0.013427244732112376,-0.04937109426313029
NG,sigma[1],strongSN,++,50,0.5,A,200,0.011993400379251135,0.93,0.11054700879336443,0.10511810029396741,0.1098944925849479,-0.004776392290980494,0.011993400379251135
NG,sigma[2],strongSN,++,50,0.5,A,200,-0.00955679790908389,0.91,0.11471485557064041,0.10306043357937938,0.11431607805692871,-0.011255644477549329,-0.00955679790908389
NG,mu[1],strongSN,++,50,0.5,A,200,0.013026309210771516,0.94,0.16130529047775957,0.14991812397214827,0.16077845628211437,-0.010860332309966109,0.013026309210771516
NG,mu[2],strongSN,++,50,0.5,A,200,-0.01753826970713969,0.93,0.17182919859415283,0.14681113775940277,0.17093180682713338,-0.02412066906773061,-0.01753826970713969
NG,phi11,strongSN,++,50,0.5,A,200,-0.17940085488483787,0.95,0.15024340516363952,0.14918635405617175,0.1319982352829758,0.017188118773195954,-0.07176034195393516
NG,phi12,strongSN,++,50,0.5,A,200,-0.08090227824726787,0.95,0.14331552715005785,0.15238322088628578,0.14308699639045816,0.00929622449582762,-0.008090227824726787
NG,phi21,strongSN,++,50,0.5,A,200,-0.07360005804206687,0.95,0.14274866090988445,0.1470130759234914,0.14255879666343715,0.004454279260054234,-0.007360005804206687
NG,phi22,strongSN,++,50,0.5,A,200,-0.19429547683411863,0.95,0.15538692302719878,0.14851183812142676,0.13455474230568387,0.013957095815742893,-0.07771819073364745
NG,rho,strongSN,++,50,0.5,A,200,-0.14844711383529774,0.92,0.13853382677540302,0.1139604528576788,0.11697215377828141,-0.0030117009206026,-0.07422355691764887
NG,sigma[1],strongSN,++,50,0.3,B,200,3.46734731458653e-4,0.935,0.10963470137815078,0.10516817654595942,0.10963415307878424,-0.004465976532824822,3.46734731458653e-4
NG,sigma[2],strongSN,++,50,0.3,B,200,0.022787884690491946,0.895,0.12221423554075937,0.10729001568703307,0.12007094436267692,-0.012780928675643843,0.022787884690491946
NG,mu[1],strongSN,++,50,0.3,B,200,-0.006915421824462493,0.89,0.1854965796149404,0.15010660650732438,0.18536762929333608,-0.0352610227860117,-0.006915421824462493
NG,mu[2],strongSN,++,50,0.3,B,200,0.004146605808773982,0.935,0.15765528812199248,0.1532942365811306,0.15760074724789572,-0.004306510666765129,0.004146605808773982
NG,phi11,strongSN,++,50,0.3,B,200,-0.18573855560359973,0.89,0.1589542271209772,0.12924631311778506,0.1217807701598223,0.007465542957962756,-0.10215620558197987
NG,phi12,strongSN,++,50,0.3,B,200,0.048874433875763325,0.975,0.1350796183544159,0.14303769708121775,0.13499117079241846,0.008046526288799288,0.004887443387576334
NG,phi21,strongSN,++,50,0.3,B,200,-0.19234923068504467,0.945,0.13297353110767157,0.13317856622249102,0.13157498892187533,0.001603577300615694,-0.01923492306850447
NG,phi22,strongSN,++,50,0.3,B,200,-0.2139865243607001,0.97,0.13441756770806193,0.14505784548924178,0.1233133933137562,0.021744452175485582,-0.05349663109017502
NG,rho,strongSN,++,50,0.3,B,200,-0.19577365564408725,0.975,0.13355632150204838,0.1288602591413649,0.11994928858136694,0.008910970559997955,-0.058732096693226175
NG,sigma[1],strongSN,++,50,0.5,B,200,0.0018775600713253978,0.925,0.11607981388491927,0.10407107871652878,0.11606462837460886,-0.011993549658080083,0.0018775600713253978
NG,sigma[2],strongSN,++,50,0.5,B,200,0.002287999220175341,0.925,0.11240947429920552,0.10397921132455076,0.11238618674815969,-0.008406975423608923,0.002287999220175341
NG,mu[1],strongSN,++,50,0.5,B,200,-0.004148646709093205,0.92,0.1802919340555677,0.14975609413232777,0.18024419606739162,-0.03048810193506385,-0.004148646709093205
NG,mu[2],strongSN,++,50,0.5,B,200,-0.010333630921851817,0.945,0.1711882983967331,0.15014996617869802,0.17087612349283876,-0.020726157314140736,-0.010333630921851817
NG,phi11,strongSN,++,50,0.5,B,200,-0.17918969063536788,0.935,0.15996840545445257,0.13721069293158736,0.12600370951509912,0.011206983416488236,-0.09855432984945235
NG,phi12,strongSN,++,50,0.5,B,200,-0.03193012273616388,0.925,0.15588860645779432,0.15583867694625017,0.15585590234563979,-1.7225399389614315e-5,-0.003193012273616388
NG,phi21,strongSN,++,50,0.5,B,200,-0.25945783069846595,0.99,0.12833851329596888,0.13814169996580858,0.1256884654051916,0.012453234560616977,-0.025945783069846597
NG,phi22,strongSN,++,50,0.5,B,200,-0.2776784408402918,0.955,0.15153228689460096,0.15508588951144686,0.13469577458030818,0.02039011493113868,-0.06941961021007295
NG,rho,strongSN,++,50,0.5,B,200,-0.12589179558275554,0.915,0.1311328927656239,0.11305762183102397,0.11503760044575878,-0.001979978614734812,-0.06294589779137777
NG,sigma[1],strongSN,+-,50,0.3,A,200,-0.009234937366730131,0.91,0.12752970567349212,0.10428532181619782,0.12719489675690648,-0.022909574940708666,-0.009234937366730131
NG,sigma[2],strongSN,+-,50,0.3,A,200,0.005657650593612069,0.915,0.12266995282011059,0.10578813579411143,0.12253941535134219,-0.016751279557230755,0.005657650593612069
NG,mu[1],strongSN,+-,50,0.3,A,200,-0.01917313545357024,0.905,0.17816627368934745,0.147653545348144,0.17713162325577697,-0.02947807790763296,-0.01917313545357024
NG,mu[2],strongSN,+-,50,0.3,A,200,-0.006425047064458603,0.93,0.16290327585911651,0.15039765729390858,0.16277652182010435,-0.01237886452619577,-0.006425047064458603
NG,phi11,strongSN,+-,50,0.3,A,200,-0.22806850674222062,0.94,0.15950024589894618,0.1397895478582535,0.13083535240524286,0.008954195453010655,-0.09122740269688825
NG,phi12,strongSN,+-,50,0.3,A,200,-0.1637140411143485,0.95,0.15106488770019133,0.13798972143981858,0.15017515581244292,-0.012185434372624343,-0.01637140411143485
NG,phi21,strongSN,+-,50,0.3,A,200,-0.10206304271042776,0.93,0.14289071931916567,0.1435352825265256,0.1425257486234522,0.0010095339030734007,-0.010206304271042778
NG,phi22,strongSN,+-,50,0.3,A,200,-0.177288845664052,0.925,0.15639941678091807,0.1388570496808575,0.1393978622573122,-5.408125764547189e-4,-0.0709155382656208
NG,rho,strongSN,+-,50,0.3,A,200,-0.22403213756213983,0.945,0.13390988710340215,0.12949916323422148,0.11582194086003902,0.013677222374182452,-0.06720964126864194
NG,sigma[1],strongSN,+-,50,0.5,A,200,-0.01697543976102814,0.92,0.11615977420313803,0.1022782821471723,0.11491269550334164,-0.012634413356169341,-0.01697543976102814
NG,sigma[2],strongSN,+-,50,0.5,A,200,9.073363233124171e-4,0.895,0.11772097113042614,0.10432193197762364,0.1177174744236684,-0.013395542446044753,9.073363233124171e-4
NG,mu[1],strongSN,+-,50,0.5,A,200,-0.03201765268361044,0.92,0.18408283964495462,0.14716330422539906,0.18127703044892857,-0.03411372622352951,-0.03201765268361044
NG,mu[2],strongSN,+-,50,0.5,A,200,-0.0024354352159135038,0.905,0.17599851085107268,0.15014185248432652,0.1759816594907101,-0.02583980700638358,-0.0024354352159135038
NG,phi11,strongSN,+-,50,0.5,A,200,-0.1968933234610719,0.945,0.14941495540017266,0.1461202606642674,0.12697287885792058,0.019147381806346814,-0.07875732938442877
NG,phi12,strongSN,+-,50,0.5,A,200,-0.09119219382194206,0.935,0.14637458015852844,0.1456313350075984,0.14609023771096027,-4.5890270336187977e-4,-0.009119219382194206
