Model,param,mcmc_status,skew_level,direction,T,rho,VARset,N_valid,mean_rel_bias,coverage_95,RMSE,mean_post_sd,emp_sd,sd_bias
SG,phi12,Clean,strongSN,++,50,0.3,A,63,-0.2520245340898478,0.9047619047619048,0.16093120398939975,0.13941891646781043,0.15894555281493641,-0.01952663634712598
SG,phi12,Problematic,strongSN,++,50,0.3,A,137,-0.10824716630361114,0.9708029197080292,0.12726889594855573,0.12786847744317262,0.126807718163512,0.0010607592796606224
SG,phi21,Clean,strongSN,++,50,0.3,A,63,0.06971874253311545,0.9841269841269841,0.10178301580877318,0.13223353399030574,0.10154395736096256,0.030689576629343185
SG,phi21,Problematic,strongSN,++,50,0.3,A,137,0.05552198149097012,0.9708029197080292,0.11328151199871979,0.12622537511978904,0.11314536692427693,0.01308000819551211
SG,phi22,Clean,strongSN,++,50,0.3,A,63,-0.2115366062705067,0.9682539682539683,0.1524608889914948,0.13706549299380524,0.12682541127583996,0.010240081717965283
SG,phi22,Problematic,strongSN,++,50,0.3,A,137,-0.14834470541457415,0.927007299270073,0.12776856892313534,0.12862925554952157,0.11315397891696122,0.015475276632560347
SG,rho,Clean,strongSN,++,50,0.3,A,63,-0.21580507928781498,0.9365079365079365,0.13202516976567352,0.12810331429438457,0.1150616380444721,0.013041676249912468
SG,rho,Problematic,strongSN,++,50,0.3,A,137,-0.1327676621952874,0.9708029197080292,0.1155904632451106,0.12474296326063287,0.10851130126391025,0.01623166199672263
NG,sigma[1],Clean,extremeCHI,++,50,0.3,A,200,-0.01547891129253315,0.64,0.24844745770449495,0.10327245140009636,0.24796480102027524,-0.14469234962017888
NG,sigma[2],Clean,extremeCHI,++,50,0.3,A,200,-0.015005654936426556,0.65,0.24762251042528372,0.1031179304856312,0.24716742906226263,-0.14404949857663144
NG,mu[1],Clean,extremeCHI,++,50,0.3,A,200,-0.005209329535070935,0.94,0.15229460282333268,0.14670405082574564,0.15220548260464103,-0.005501431778895394
NG,mu[2],Clean,extremeCHI,++,50,0.3,A,200,-0.0019458736051353519,0.92,0.1587474617547243,0.14619741463998134,0.15873553537088186,-0.01253812073090052
NG,phi11,Clean,extremeCHI,++,50,0.3,A,200,-0.1829338384644676,0.96,0.14462301422070384,0.13809113824680644,0.12474554084786708,0.013345597398939354
NG,phi12,Clean,extremeCHI,++,50,0.3,A,200,-0.07540355970974941,0.965,0.14941533052054598,0.14208877109238693,0.14922494438395673,-0.007136173291569792
NG,phi21,Clean,extremeCHI,++,50,0.3,A,200,-0.09095209137038499,0.97,0.14395653356430058,0.14239232703249682,0.14366892749165747,-0.0012766004591606428
NG,phi22,Clean,extremeCHI,++,50,0.3,A,200,-0.1908200428920296,0.98,0.14120887561114465,0.13795758484106724,0.11880227417130178,0.01915531066976546
NG,rho,Clean,extremeCHI,++,50,0.3,A,200,-0.33090311619114765,0.86,0.17494464412443023,0.13017873442232233,0.14405176153165375,-0.013873027109331415
SG,omega[1],Problematic,extremeCHI,++,50,0.3,A,200,NA,NA,NA,0.13756391372879315,0.26710263604730516,-0.12953872231851202
SG,omega[2],Problematic,extremeCHI,++,50,0.3,A,200,NA,NA,NA,0.1376688650606727,0.2707223082618595,-0.1330534432011868
SG,alpha[1],Problematic,extremeCHI,++,50,0.3,A,200,NA,NA,NA,43.8536928128313,8.0486928728153,35.804999940015996
SG,alpha[2],Problematic,extremeCHI,++,50,0.3,A,200,NA,NA,NA,41.726558463779064,7.582421910024833,34.14413655375423
SG,mu[1],Problematic,extremeCHI,++,50,0.3,A,200,0.19202336425689745,0.54,0.2708001741049305,0.11241719213551998,0.19094439471930974,-0.07852720258378976
