condition_id,Model,param,mcmc_status,T,theta,VARset,N_valid,mean_bias,mean_rel_bias,coverage_95,RMSE,mean_post_sd,emp_sd,sd_bias
7,NC (Clayton copula),theta,Clean,50,2,A,200,8.839419198692868e-5,4.41970959934629e-5,0.965,0.5708248956074805,0.5424599738935797,0.5708248887634086,-0.02836491486982895
7,NG (Gaussian copula),mu[1],Clean,50,2,A,200,-0.020511441914422966,-0.020511441914422966,0.94,0.16722460083984858,0.14529466015829665,0.1659618868193476,-0.020667226661050947
7,NG (Gaussian copula),mu[2],Clean,50,2,A,200,-0.00434192231144284,-0.00434192231144284,0.925,0.16300756628649152,0.148242302115152,0.16294972960175882,-0.014707427486606833
7,NG (Gaussian copula),phi11,Clean,50,2,A,200,-0.09126401188067289,-0.2281600297016822,0.93,0.17396666423348986,0.16850244128714717,0.1481056393253552,0.02039680196179197
7,NG (Gaussian copula),phi12,Clean,50,2,A,200,0.0033332960537242203,0.03333296053724219,0.965,0.1567611391795799,0.16549621012249527,0.15672569634331776,0.008770513779177508
7,NG (Gaussian copula),phi21,Clean,50,2,A,200,-0.0369953105366789,-0.36995310536678894,0.98,0.15602105793787435,0.172186463436019,0.15157149309269288,0.020614970343326128
7,NG (Gaussian copula),phi22,Clean,50,2,A,200,-0.05251509562661469,-0.13128773906653673,0.975,0.152237157963022,0.1679256068738142,0.1428926764952831,0.025032930378531104
7,NG (Gaussian copula),sigma[1],Clean,50,2,A,200,-0.01610694447787221,-0.01610694447787221,0.955,0.09864971250753055,0.1009407104907413,0.09732590671247389,0.0036148037782674086
7,NG (Gaussian copula),sigma[2],Clean,50,2,A,200,0.0035539228198663004,0.0035539228198663004,0.94,0.09771958395440111,0.10287837526217757,0.09765493700172911,0.005223438260448451
7,NG (Gaussian copula),rho,Clean,50,2,A,200,NA,NA,NA,NA,0.08477076143833155,0.09603125994831908,-0.011260498509987532
8,NC (Clayton copula),mu[1],Clean,100,2,A,200,0.013355737097812792,0.013355737097812792,0.915,0.11106545624513718,0.10028334499772606,0.11025951141518173,-0.009976166417455662
8,NC (Clayton copula),mu[2],Clean,100,2,A,200,0.004431586067592347,0.004431586067592347,0.935,0.1056245955119316,0.10044382139872474,0.10553158873998193,-0.005087767341257196
8,NC (Clayton copula),phi11,Clean,100,2,A,200,-0.02904636510062824,-0.0726159127515706,0.975,0.09965203732108979,0.1115658139425588,0.09532490344440366,0.01624091049815514
8,NC (Clayton copula),phi12,Clean,100,2,A,200,-0.016014734057223687,-0.16014734057223684,0.96,0.1064603742001551,0.11115790849998626,0.10524894093487805,0.005908967565108211
