condition_id,model,param,mean_rel_bias,coverage_95,mean_post_sd,emp_sd,sd_bias,mean_n_div
4,SG,delta[1],0.711735103602392,0.5,0.4545287959999404,0.20854061474684377,0.24598818125309663,0.515
4,SG,delta[2],0.7226148600254202,0.405,0.44720446815738163,0.21964499953800307,0.22755946861937856,0.515
4,SG,mu[1],0.003929274291732549,0.94,0.14597266559907002,0.15633609338429005,-0.010363427785220036,0.515
4,SG,mu[2],0.010282971851100949,0.935,0.1461072890725567,0.16888117312020462,-0.022773884047647908,0.515
4,SG,omega[1],0.15147322298734922,0.91,0.19806291438729565,0.16139572792530066,0.03666718646199499,0.515
4,SG,omega[2],0.14876943128393694,0.905,0.19202506539674943,0.17745942750645982,0.014565637890289612,0.515
4,SG,phi11,-0.1635529688327383,0.965,0.13487721474541436,0.12215063494624268,0.012726579799171689,0.515
4,SG,phi12,-0.06202450950858791,0.96,0.13767085855599398,0.1292424301733527,0.008428428382641268,0.515
4,SG,phi21,-0.28151017131878275,0.96,0.1358586185065401,0.12369276769433042,0.01216585081220968,0.515
4,SG,phi22,-0.1708915389010458,0.97,0.13666689274144675,0.11065308728829036,0.02601380545315639,0.515
4,SG,rho,-0.1321345785689223,0.94,0.12615232414358113,0.13141216148128668,-0.005259837337705547,0.515
5,NG,mu[1],-0.012405531162717899,0.945,0.15018209181827574,0.156542757415898,-0.006360665597622245,0
5,NG,mu[2],-0.017334284690603705,0.94,0.14994258319191722,0.1654275899946235,-0.015485006802706286,0
5,NG,phi11,-0.16069506122434182,0.955,0.14003482912160445,0.12937161420010754,0.01066321492149691,0
5,NG,phi12,-0.06576058335780167,0.965,0.1410157276828872,0.1292836122526802,0.011732115430206996,0
5,NG,phi21,-0.014963646456096338,0.965,0.14037326293473218,0.13527356434725518,0.005099698587476997,0
5,NG,phi22,-0.16437426598358096,0.955,0.1393949524435064,0.13364432420770242,0.005750628235803967,0
5,NG,rho,-0.11352033583711768,0.97,0.12701366509603149,0.13083373734916798,-0.0038200722531364917,0
5,NG,sigma[1],0.011709457440572463,0.895,0.10612312792798341,0.11767269955736628,-0.011549571629382874,0
5,NG,sigma[2],0.007292801503455771,0.94,0.10577176666618186,0.11068375044305281,-0.004911983776870951,0
5,SG,delta[1],0.5730657244876176,0.455,0.44260212113703634,0.269506606348813,0.17309551478822333,1.26
5,SG,delta[2],0.576838953629817,0.485,0.4439615684100271,0.2699249624477797,0.1740366059622474,1.26
