model,condition_id,rep_id,param,post_mean,post_sd,l95,u95,truth,bias,rel_bias,cover95,n_div,max_rhat,status
EI,1,9,phi12,-0.5344871270293827,0.1288454490583895,-0.7842628309031701,-0.2780786555047812,0.1,-0.6344871270293827,-6.344871270293827,0,0,1.0029634380075236,ok
EI,1,9,phi21,-0.4649536432676572,0.11278177049988601,-0.6862770066100702,-0.24472609063326536,0.1,-0.5649536432676572,-5.649536432676571,0,0,1.0029634380075236,ok
EI,1,9,phi22,-0.2553375469219452,0.1253547230622203,-0.4975985104641927,-0.009297963743121425,0.25,-0.5053375469219452,-2.021350187687781,0,0,1.0029634380075236,ok
EI,1,9,rho,0.9100115305609499,0.04014426407864063,0.8086616774163924,0.9603736551111056,0.3,0.6100115305609499,2.0333717685365,0,0,1.0029634380075236,ok
EI,1,9,sigma_exp[1],1.3074603251397217,0.15566169189952445,1.034837806792748,1.6481687012473616,1,0.30746032513972166,0.30746032513972166,0,0,1.0029634380075236,ok
EI,1,9,sigma_exp[2],1.1995564035399038,0.13127483242277807,0.9652435757156299,1.4733457826954057,1,0.19955640353990378,0.19955640353990378,1,0,1.0029634380075236,ok
EI,1,10,mu[1],-0.3232369541799209,0.1653105404228586,-0.6380143726694719,0.006241456979291426,0,-0.3232369541799209,-0.3232369541799209,1,0,1.0033483972105826,ok
EI,1,10,mu[2],-0.030057159782683914,0.1626602876462844,-0.344472764646001,0.29515510982626353,0,-0.030057159782683914,-0.030057159782683914,1,0,1.0033483972105826,ok
EI,1,10,phi11,-0.09427623498127427,0.14001008974273726,-0.3546998331675423,0.20169757064299762,0.55,-0.6442762349812743,-1.1714113363295895,0,0,1.0033483972105826,ok
EI,1,10,phi12,-0.5521785594983692,0.1328566927933158,-0.806706216896129,-0.28467661961026114,0.1,-0.6521785594983692,-6.521785594983692,0,0,1.0033483972105826,ok
EI,1,10,phi21,-0.32800716181310696,0.11172677253886949,-0.5461827077530905,-0.10522389061020634,0.1,-0.42800716181310694,-4.280071618131069,0,0,1.0033483972105826,ok
EI,1,10,phi22,-0.34903221900763,0.1188562189041432,-0.5775766147733703,-0.10727140256335842,0.25,-0.59903221900763,-2.39612887603052,0,0,1.0033483972105826,ok
EI,1,10,rho,0.8973448346826197,0.04812958805794336,0.7786240386580252,0.9572847241006647,0.3,0.5973448346826198,1.991149448942066,0,0,1.0033483972105826,ok
