condition_id,model,param,N_valid,N_truth_avail,mean_bias,mean_rel_bias,coverage_95,mean_post_sd,emp_sd,sd_bias,mean_n_div,prop_div,mean_rhat,N_expected,N_ok,N_missing_fit,N_not_ok,prop_ok,RMSE
6,EI,phi11,200,200,-0.024760292139262455,-0.04501871298047719,0.99,0.08790559724723943,0.07249826956038612,0.015407327686853309,0.01,0.01,4.406970721356984,200,200,0,0,1,0.07660986330801035
6,EI,phi12,200,200,-0.03989105420203676,-0.3989105420203675,0.99,0.11953955334408013,0.07333525220099577,0.04620430114308437,0.01,0.01,4.406970721356984,200,200,0,0,1,0.08348266539068748
6,EI,phi21,200,200,-0.03439588792444298,-0.3439588792444298,0.995,0.0915760494210092,0.054660283194381334,0.03691576622662787,0.01,0.01,4.406970721356984,200,200,0,0,1,0.06458191438011736
6,EI,phi22,200,200,-0.05194196749108878,-0.20776786996435512,1,0.11858191404242478,0.06666934691850078,0.051912567123924,0.01,0.01,4.406970721356984,200,200,0,0,1,0.08451490877581738
6,EI,rho,200,200,0.5918919617194547,1.972973205731516,0.08500000000000002,0.08775344324754294,0.14199512052937208,-0.05424167728182913,0.01,0.01,4.406970721356984,200,200,0,0,1,0.6086860509345152
6,EI,sigma_exp[1],200,200,0.21370137529408664,0.21370137529408664,0.42000000000000004,0.11594282576652458,0.056281504699218485,0.059661321067306095,0.01,0.01,4.406970721356984,200,200,0,0,1,0.22098842859704718
6,EI,sigma_exp[2],200,200,0.24177022501805823,0.24177022501805823,0.26000000000000006,0.11947479843716954,0.06229459769066093,0.05718020074650861,0.01,0.01,4.406970721356984,200,200,0,0,1,0.2496666950290403
6,EL,mu[1],200,200,-0.02542203693472162,-0.02542203693472162,0.985,0.08197015706984193,0.06126108715241523,0.020709069917426694,0,0,1.000928397900346,200,200,0,0,1,0.06632647104291141
6,EL,mu[2],200,200,-0.023764161680531613,-0.023764161680531613,0.985,0.08192307179327359,0.06294381013141787,0.01897926166185572,0,0,1.000928397900346,200,200,0,0,1,0.06728044748839317
6,EL,phi11,200,200,-0.0065720281306640505,-0.01194914205575282,1,0.025413338007044848,0.017202121990366553,0.008211216016678295,0,0,1.000928397900346,200,200,0,0,1,0.018414791737125135
6,EL,phi12,200,200,-6.130531219050242e-4,-0.006130531219050249,0.995,0.029771082646994317,0.019453957680538394,0.010317124966455923,0,0,1.000928397900346,200,200,0,0,1,0.019463614863803082
6,EL,phi21,200,200,-0.0016692727543295093,-0.01669272754329509,1,0.02570563131096986,0.01699347874097528,0.00871215256999458,0,0,1.000928397900346,200,200,0,0,1,0.017075268409261553
6,EL,phi22,200,200,-0.0026559609176683182,-0.010623843670673273,1,0.030174905818066172,0.02130434685794671,0.008870558960119464,0,0,1.000928397900346,200,200,0,0,1,0.02146926462270856
6,EL,rho,200,200,0.31998864825359774,1.0666288275119926,0.004999999999999997,0.0488059902338838,0.05135083328448868,-0.0025448430506048794,0,0,1.000928397900346,200,200,0,0,1,0.32408277197372903
6,EL,sigma_exp[1],200,200,0.27791284742945915,0.27791284742945915,0.004999999999999997,0.0826572032231784,0.05601866798655827,0.026638535236620138,0,0,1.000928397900346,200,200,0,0,1,0.2835024548912021
6,EL,sigma_exp[2],200,200,0.2777227976795635,0.2777227976795635,0.009999999999999995,0.08260299303961868,0.05776154629210627,0.024841446747512416,0,0,1.000928397900346,200,200,0,0,1,0.2836659101496316
7,EI,mu[1],200,200,0.13192148105083973,0.13192148105083973,0.71,0.10785163726768278,0.1060061701400983,0.0018454671275844742,0,0,2.4867169635235844,200,200,0,0,1,0.1692352955810889
7,EI,mu[2],200,200,-0.15811606326718478,-0.15811606326718478,0.6900000000000001,0.13064677696108967,0.13804300813021778,-0.0073962311691281035,0,0,2.4867169635235844,200,200,0,0,1,0.20989654965423266
7,EI,phi11,200,200,-0.06852875584312995,-0.1245977378965999,0.915,0.09773018668000523,0.0982204056833915,-4.902190033862774e-4,0,0,2.4867169635235844,200,200,0,0,1,0.11976409507868926
7,EI,phi12,200,200,-0.018319591150253545,-0.18319591150253542,0.985,0.1281737822534928,0.12088725213440839,0.007286530119084408,0,0,2.4867169635235844,200,200,0,0,1,0.12226747379626551
7,EI,phi21,200,200,-0.04475209896806471,-0.4475209896806471,0.95,0.11053625681762891,0.1019191191963796,0.008617137621249313,0,0,2.4867169635235844,200,200,0,0,1,0.11131153228580268
7,EI,phi22,200,200,-0.08851872614092583,-0.35407490456370333,0.92,0.1308028821227852,0.11882040556621314,0.011982476556572072,0,0,2.4867169635235844,200,200,0,0,1,0.1481683287903714
7,EI,rho,200,200,0.1460828487613285,0.4869428292044282,0.305,0.2219676138610067,0.5658213923981226,-0.34385377853711585,0,0,2.4867169635235844,200,200,0,0,1,0.584374919719845
7,EI,sigma_exp[1],200,200,0.8896583746193134,0.8896583746193134,0,0.1831903244520962,0.18759616949380797,-0.0044058450417117645,0,0,2.4867169635235844,200,200,0,0,1,0.9092218356039565
7,EI,sigma_exp[2],200,200,0.8576096032617913,0.8576096032617913,0,0.17204250028544665,0.1714189232732869,6.235770121597595e-4,0,0,2.4867169635235844,200,200,0,0,1,0.8745734267990425
7,EL,mu[1],200,200,0.10916747444432927,0.10916747444432927,0.925,0.26161137901838283,0.20777052019771108,0.053840858820671744,0,0,7.681471538090773,200,200,0,0,1,0.23470433856190379
7,EL,mu[2],200,200,-0.10641807033529765,-0.10641807033529765,0.925,0.2569929163333447,0.22000051620866928,0.03699240012467542,0,0,7.681471538090773,200,200,0,0,1,0.24438705535680344
7,EL,phi11,200,200,-0.2924539225286138,-0.5317344045974796,0.11999999999999995,0.051316839195405986,0.17306984590709756,-0.12175300671169158,0,0,7.681471538090773,200,200,0,0,1,0.339827115405288
7,EL,phi12,200,200,-0.07108134053813558,-0.710813405381356,0.4449999999999999,0.06600748285668459,0.21107086089489813,-0.14506337803821354,0,0,7.681471538090773,200,200,0,0,1,0.22271835418665395
7,EL,phi21,200,200,-0.061562925655563906,-0.615629256555639,0.435,0.06571937836899326,0.1863292588626787,-0.12060988049368544,0,0,7.681471538090773,200,200,0,0,1,0.19623604797179242
7,EL,phi22,200,200,-0.1282712304334671,-0.5130849217338684,0.4049999999999999,0.06138599124231548,0.1776993765958128,-0.11631338535349733,0,0,7.681471538090773,200,200,0,0,1,0.21915879402719873
