model,condition_id,rep_id,param,post_mean,post_sd,l95,u95,truth,bias,rel_bias,cover95,n_div,max_rhat,status,unit
NG_MLmin,2,12,rho,0.4246942023200511,0.015991511697821852,0.39295822172211653,0.45579147250770136,0.5,-0.07530579767994888,-0.15061159535989777,FALSE,0,1.004094829334746,ok,NA
NG_MLmin,2,12,sigma[1],0.9852124128863583,0.013291765879655653,0.9596168250754153,1.012276837547476,1,-0.014787587113641698,-0.014787587113641698,TRUE,0,1.004094829334746,ok,NA
NG_MLmin,2,12,sigma[2],0.9267640225780857,0.013114900519125464,0.9013924765608388,0.9529818094461874,1,-0.07323597742191434,-0.07323597742191434,FALSE,0,1.004094829334746,ok,NA
NG_MLmin,2,12,mu_bar[1],-0.11382469932663479,0.06292341422369054,-0.23473175759449597,0.01550040470724364,0,-0.11382469932663479,-0.11382469932663479,TRUE,0,1.004094829334746,ok,NA
NG_MLmin,2,12,mu_bar[2],-0.009277293396159066,0.06619090923573413,-0.13845466651417498,0.12094743291217137,0,-0.009277293396159066,-0.009277293396159066,TRUE,0,1.004094829334746,ok,NA
NG_MLmin,2,12,tau_mu[1],0.37103342708745546,0.04905766808521736,0.28774098326040354,0.479326411981225,0.4,-0.028966572912544564,-0.07241643228136141,TRUE,0,1.004094829334746,ok,NA
NG_MLmin,2,12,tau_mu[2],0.4178361334761604,0.055045863548794906,0.32764245224755767,0.5399503791582891,0.4,0.017836133476160365,0.04459033369040091,TRUE,0,1.004094829334746,ok,NA
NG_MLmin,2,13,phi11,0.40570357744109753,0.02044987722156328,0.3656501519537182,0.44602180420657345,0.4,0.005703577441097507,0.014258943602743768,TRUE,0,1.0026700811611098,ok,NA
NG_MLmin,2,13,phi12,0.09729715140494434,0.020250850530585823,0.058005781563132144,0.1373994983080787,0.1,-0.002702848595055665,-0.027028485950556652,TRUE,0,1.0026700811611098,ok,NA
NG_MLmin,2,13,phi21,0.11818676076033006,0.019527721941181905,0.08003232638350437,0.15625533118606488,0.1,0.01818676076033006,0.1818676076033006,TRUE,0,1.0026700811611098,ok,NA
NG_MLmin,2,13,phi22,0.4063793645688485,0.020101752405801695,0.3671497521449945,0.4466294270557464,0.4,0.006379364568848467,0.015948411422121167,TRUE,0,1.0026700811611098,ok,NA
NG_MLmin,2,13,rho,0.45030756784503,0.0156285646238901,0.41865623886538517,0.48034678728758284,0.5,-0.04969243215496999,-0.09938486430993998,FALSE,0,1.0026700811611098,ok,NA
NG_MLmin,2,13,sigma[1],0.9986849548043745,0.013552961834781602,0.9727898258055083,1.025094601276469,1,-0.0013150451956255305,-0.0013150451956255305,TRUE,0,1.0026700811611098,ok,NA
NG_MLmin,2,13,sigma[2],0.9929527803917964,0.0135763156877872,0.9664368731515781,1.0199195689081582,1,-0.007047219608203648,-0.007047219608203648,TRUE,0,1.0026700811611098,ok,NA
NG_MLmin,2,13,mu_bar[1],0.0698024331854916,0.07080039220902502,-0.07069824951274949,0.20389775841916696,0,0.0698024331854916,0.0698024331854916,TRUE,0,1.0026700811611098,ok,NA
NG_MLmin,2,13,mu_bar[2],-0.025081321574648423,0.06012428561234133,-0.1422434976298156,0.09563542774050683,0,-0.025081321574648423,-0.025081321574648423,TRUE,0,1.0026700811611098,ok,NA
NG_MLmin,2,13,tau_mu[1],0.43166347330883775,0.056684751448231076,0.33116811059805223,0.555752544695123,0.4,0.03166347330883773,0.07915868327209433,TRUE,0,1.0026700811611098,ok,NA
NG_MLmin,2,13,tau_mu[2],0.3620257966218303,0.04876169465368549,0.2793512709131366,0.4712734809422746,0.4,-0.0379742033781697,-0.09493550844542425,TRUE,0,1.0026700811611098,ok,NA
NG_MLmin,2,14,phi11,0.36745332315767537,0.020834242737150763,0.32657323461825283,0.4092918601873452,0.4,-0.03254667684232465,-0.08136669210581163,TRUE,0,1.00233713816886,ok,NA
NG_MLmin,2,14,phi12,0.06713649090280961,0.020204172691010023,0.027857794545561435,0.10713123986327062,0.1,-0.032863509097190394,-0.3286350909719039,TRUE,0,1.00233713816886,ok,NA
NG_MLmin,2,14,phi21,0.059727950383493524,0.019724144720380973,0.021360884861247917,0.09756332913133925,0.1,-0.04027204961650648,-0.4027204961650648,FALSE,0,1.00233713816886,ok,NA
NG_MLmin,2,14,phi22,0.40123905998180803,0.020638753118248504,0.36206723999512885,0.44130701954459656,0.4,0.0012390599818080106,0.0030976499545200264,TRUE,0,1.00233713816886,ok,NA
NG_MLmin,2,14,rho,0.4552198505051724,0.015122325231963952,0.4251120743647386,0.4840672945497936,0.5,-0.044780149494827615,-0.08956029898965523,FALSE,0,1.00233713816886,ok,NA
NG_MLmin,2,14,sigma[1],1.0340778384105926,0.013910604875861602,1.0075640635905283,1.0614136331703201,1,0.03407783841059264,0.03407783841059264,FALSE,0,1.00233713816886,ok,NA
NG_MLmin,2,14,sigma[2],1.0045182950303717,0.013358397115463716,0.979005116048393,1.0308370416985477,1,0.004518295030371711,0.004518295030371711,TRUE,0,1.00233713816886,ok,NA
NG_MLmin,2,14,mu_bar[1],-0.04221722882453219,0.07618228324090975,-0.19003105360172115,0.10894700085523035,0,-0.04221722882453219,-0.04221722882453219,TRUE,0,1.00233713816886,ok,NA
NG_MLmin,2,14,mu_bar[2],0.09261824957635528,0.06658212998142103,-0.03869910152119363,0.22594729669552105,0,0.09261824957635528,0.09261824957635528,TRUE,0,1.00233713816886,ok,NA
NG_MLmin,2,14,tau_mu[1],0.4640319603017059,0.059403037506280273,0.3630487635515987,0.5961253649392718,0.4,0.06403196030170588,0.1600799007542647,TRUE,0,1.00233713816886,ok,NA
NG_MLmin,2,14,tau_mu[2],0.38728364125962245,0.052607797349965645,0.2996014096282941,0.5042388845513815,0.4,-0.012716358740377576,-0.03179089685094394,TRUE,0,1.00233713816886,ok,NA
NG_MLmin,2,15,phi11,0.3966392955719983,0.02098117824424018,0.3559492736820706,0.43830709426199105,0.4,-0.0033607044280017373,-0.008401761070004343,TRUE,0,1.0018842268156107,ok,NA
