model,condition_id,rep_id,status,n_div,max_rhat
SG,1,195,ok,NA,1.0035283529980479
NG,1,196,ok,NA,1.0006086428965513
SG,1,196,ok,NA,1.001645473002628
NG,1,197,ok,NA,1.0008796804450737
SG,1,197,ok,NA,1.0039954330196357
NG,1,198,ok,NA,1.0012557442184307
SG,1,198,ok,NA,1.002553124397322
NG,1,199,ok,NA,1.0005599265622656
SG,1,199,ok,NA,1.001123643325057
NG,1,200,ok,NA,1.0006098214690362
SG,1,200,ok,NA,1.0006325354963217
NG,2,1,ok,NA,1.0002655096528252
SG,2,1,ok,NA,1.0015443045374492
NG,2,2,ok,NA,1.0003911509170336
SG,2,2,ok,NA,1.0017942625175793
NG,2,3,ok,NA,1.0013786895020949
SG,2,3,ok,NA,1.003721640912875
NG,2,4,ok,NA,1.001283101952899
SG,2,4,ok,NA,1.0120450141222173
NG,2,5,ok,NA,1.0009206652590266
SG,2,5,ok,NA,1.0046576835387204
NG,2,6,ok,NA,1.0017179443034518
SG,2,6,ok,NA,1.0016380005887515
NG,2,7,ok,NA,1.0005466742380607
SG,2,7,ok,NA,1.003240089804684
NG,2,8,ok,NA,1.000445047833034
SG,2,8,ok,NA,1.4638647932996718
NG,2,9,ok,NA,1.001739700563777
SG,2,9,ok,NA,1.006067200315711
NG,2,10,ok,NA,1.000863944523922
SG,2,10,ok,NA,1.001727717621719
NG,2,11,ok,NA,1.0010558025507967
SG,2,11,ok,NA,1.002553432011828
NG,2,12,ok,NA,1.0009614440479193
SG,2,12,ok,NA,1.0028323745709833
NG,2,13,ok,NA,1.0005416662638786
SG,2,13,ok,NA,1.0044058083086203
NG,2,14,ok,NA,1.0013438395119836
SG,2,14,ok,NA,1.0009222797822104
NG,2,15,ok,NA,1.0010725901065682
SG,2,15,ok,NA,1.0033036053096476
NG,2,16,ok,NA,1.0005620306350447
SG,2,16,ok,NA,1.0024740699640424
NG,2,17,ok,NA,1.0004851343888783
SG,2,17,ok,NA,1.0033802284490168
NG,2,18,ok,NA,1.0026258981986478
SG,2,18,ok,NA,1.015020004667633
NG,2,19,ok,NA,1.0011767834913765
SG,2,19,ok,NA,1.0090931134683117
NG,2,20,ok,NA,1.000561877794937
SG,2,20,ok,NA,1.0036274032715486
NG,2,21,ok,NA,1.001163880798971
SG,2,21,ok,NA,1.0028537238132273
NG,2,22,ok,NA,1.0004342662220036
SG,2,22,ok,NA,1.0022915182350813
NG,2,23,ok,NA,1.0009559995048296
SG,2,23,ok,NA,1.0010210786966638
NG,2,24,ok,NA,1.0018389196498623
SG,2,24,ok,NA,1.0023791050875637
NG,2,25,ok,NA,1.001134577989153
SG,2,25,ok,NA,1.0015829788548634
NG,2,26,ok,NA,1.0007301823417984
SG,2,26,ok,NA,1.0018113695227766
NG,2,27,ok,NA,1.001369087531723
SG,2,27,ok,NA,1.002876044118029
NG,2,28,ok,NA,1.001258916101335
SG,2,28,ok,NA,1.0023873281013151
NG,2,29,ok,NA,1.0020703036708325
SG,2,29,ok,NA,1.0025122774729218
NG,2,30,ok,NA,1.0002369531093027
SG,2,30,ok,NA,1.0045164356196168
NG,2,31,ok,NA,1.0006866881387133
SG,2,31,ok,NA,1.0018417434575568
NG,2,32,ok,NA,1.0009472347287711
SG,2,32,ok,NA,1.0047415374780142
NG,2,33,ok,NA,1.000292008686814
SG,2,33,ok,NA,1.0029327085769664
NG,2,34,ok,NA,1.000248799601041
SG,2,34,ok,NA,1.0031255706318898
NG,2,35,ok,NA,1.0011272369919628
SG,2,35,ok,NA,1.003490370469538
NG,2,36,ok,NA,1.0003510720223248
SG,2,36,ok,NA,1.0051202754343733
NG,2,37,ok,NA,1.000689281975603
SG,2,37,ok,NA,1.003650439723678
NG,2,38,ok,NA,1.0008024454591697
SG,2,38,ok,NA,1.0059025218878048
NG,2,39,ok,NA,1.0010357548829514
SG,2,39,ok,NA,1.0091994874053694
NG,2,40,ok,NA,1.0004652484335603
SG,2,40,ok,NA,1.00761139822826
NG,2,41,ok,NA,1.0005004270480118
SG,2,41,ok,NA,1.0015012101788228
NG,2,42,ok,NA,1.0003253535290948
SG,2,42,ok,NA,1.0056987883647928
NG,2,43,ok,NA,1.0011297085498587
SG,2,43,ok,NA,1.0036061565032879
NG,2,44,ok,NA,1.0012458103296007
SG,2,44,ok,NA,1.0132622130936995
NG,2,45,ok,NA,1.0021074805148122
SG,2,45,ok,NA,1.0032616155710248
NG,2,46,ok,NA,1.0007677698016992
SG,2,46,ok,NA,1.001309867095268
NG,2,47,ok,NA,1.0003257170704325
SG,2,47,ok,NA,1.0034647489389297
NG,2,48,ok,NA,1.0004120898286368
SG,2,48,ok,NA,1.0014913062269164
NG,2,49,ok,NA,1.0006189649349269
SG,2,49,ok,NA,1.0022869203322038
NG,2,50,ok,NA,1.001590169975589
SG,2,50,ok,NA,1.00495584091509
NG,2,51,ok,NA,1.0013613659361733
SG,2,51,ok,NA,1.002791200313557
NG,2,52,ok,NA,1.0008174152767744
SG,2,52,ok,NA,1.0038782858713613
NG,2,53,ok,NA,1.0008990191747926
SG,2,53,ok,NA,1.002760280278298
NG,2,54,ok,NA,1.001761503388333
SG,2,54,ok,NA,1.0042454379425394
NG,2,55,ok,NA,1.000614087028264
SG,2,55,ok,NA,1.0034122368969631
NG,2,56,ok,NA,1.0008298719045476
SG,2,56,ok,NA,1.0056979776338972
NG,2,57,ok,NA,1.0011083374438599
SG,2,57,ok,NA,1.0026452425272008
NG,2,58,ok,NA,1.0003645038806608
SG,2,58,ok,NA,1.0032579552460008
NG,2,59,ok,NA,1.0017577420837236
SG,2,59,ok,NA,1.001589707938379
NG,2,60,ok,NA,1.000663720339767
SG,2,60,ok,NA,1.0024886854680215
NG,2,61,ok,NA,1.0005144034419997
SG,2,61,ok,NA,1.0026077648711988
NG,2,62,ok,NA,1.000460981650817
SG,2,62,ok,NA,1.003889238008921
NG,2,63,ok,NA,1.000538354259661
SG,2,63,ok,NA,1.0017722243409333
NG,2,64,ok,NA,1.0007807115418512
SG,2,64,ok,NA,1.00212201569231
NG,2,65,ok,NA,1.0011220447696807
SG,2,65,ok,NA,1.0022244586250157
NG,2,66,ok,NA,1.0011823074294364
SG,2,66,ok,NA,1.0031556944431057
NG,2,67,ok,NA,1.000833157971643
SG,2,67,ok,NA,1.002481632732529
NG,2,68,ok,NA,1.0005124752169354
SG,2,68,ok,NA,1.0029867472315013
NG,2,69,ok,NA,1.0005605605600791
SG,2,69,ok,NA,1.0034906098924148
NG,2,70,ok,NA,1.0008576814194052
SG,2,70,ok,NA,1.001186175677394
NG,2,71,ok,NA,1.000351160344236
SG,2,71,ok,NA,1.0064591537359326
NG,2,72,ok,NA,1.0002220884887334
SG,2,72,ok,NA,1.0058876408503683
NG,2,73,ok,NA,1.0008068520992655
SG,2,73,ok,NA,1.0032457950596312
NG,2,74,ok,NA,1.001640978222003
SG,2,74,ok,NA,1.0047472871383085
NG,2,75,ok,NA,1.0007450687668504
SG,2,75,ok,NA,1.002501983963396
