condition_id,model,param,N_valid,N_truth_avail,mean_bias,mean_rel_bias,coverage_95,mean_post_sd,emp_sd,sd_bias,mean_n_div,prop_div,mean_rhat
26,EG,phi21,200,200,-5.8366882324655114e-5,-5.836688232465447e-4,0.94,0.009429599061564832,0.010479967842034966,-0.0010503687804701341,0,0,1.001572358471257
26,EG,phi22,200,200,7.965480419028143e-4,0.0031861921676112574,0.9450000000000001,0.01154241467468221,0.012677407673403928,-0.0011349929987217178,0,0,1.001572358471257
26,EG,rho,200,200,0.019497484923106694,0.06499161641035564,0.97,0.06690577117976014,0.05938474646615064,0.007521024713609499,0,0,1.001572358471257
26,EG,sigma_exp[1],200,200,0.024652942306687055,0.024652942306687055,0.95,0.07271176195192969,0.06823267397897141,0.004479087972958276,0,0,1.001572358471257
26,EG,sigma_exp[2],200,200,0.01895483892411905,0.01895483892411905,0.955,0.07226215482040162,0.0683495382825384,0.00391261653786322,0,0,1.001572358471257
26,NG,mu[1],200,200,-0.0030119424531247717,-0.0030119424531247717,0.955,0.07185963294931354,0.06969507021655208,0.0021645627327614575,0,0,1.0008276631478552
26,NG,mu[2],200,200,0.0031291523541367118,0.0031291523541367118,0.94,0.07168720959506232,0.07049266017780931,0.001194549417253013,0,0,1.0008276631478552
26,NG,phi11,200,200,-0.021995884646251115,-0.039992517538638396,0.9450000000000001,0.061424566223841126,0.06073853216664429,6.860340571968326e-4,0,0,1.0008276631478552
26,NG,phi12,200,200,0.003917446972556777,0.039174469725567734,0.935,0.07217471027206236,0.07653781923429105,-0.00436310896222869,0,0,1.0008276631478552
26,NG,phi21,200,200,-0.013013079803992664,-0.13013079803992664,0.935,0.06179797479283352,0.06630560798748233,-0.004507633194648815,0,0,1.0008276631478552
26,NG,phi22,200,200,-0.010655148183096918,-0.04262059273238767,0.955,0.07150486131028932,0.06703425142672731,0.004470609883562016,0,0,1.0008276631478552
26,NG,rho,200,200,-0.050081619275138343,-0.16693873091712783,0.8800000000000001,0.0658854263207701,0.06536165941349725,5.23766907272849e-4,0,0,1.0008276631478552
26,NG,sigma[1],200,200,0.0039929151827469474,0.0039929151827469474,0.705,0.05087731526254148,0.1004253238241406,-0.04954800856159912,0,0,1.0008276631478552
26,NG,sigma[2],200,200,0.0018089441195640534,0.0018089441195640534,0.7200000000000001,0.050749094723936655,0.09826196654653772,-0.04751287182260107,0,0,1.0008276631478552
27,EG,mu[1],200,200,0.0032869402588719555,0.0032869402588719555,0.955,0.07154246775997386,0.06829368719327834,0.0032487805666955166,0,0,1.0015367305453273
27,EG,mu[2],200,200,-0.008333410831475326,-0.008333410831475326,0.96,0.0719758091196759,0.0715492626495059,4.2654647017e-4,0,0,1.0015367305453273
27,EG,phi11,200,200,1.0750327283843608e-4,1.954604960698827e-4,0.93,0.009894395111742251,0.010912780905195185,-0.0010183857934529337,0,0,1.0015367305453273
27,EG,phi12,200,200,-0.0020387334212011803,-0.0203873342120118,0.915,0.011297251082018478,0.013186410093581338,-0.0018891590115628597,0,0,1.0015367305453273
27,EG,phi21,200,200,-6.172476258005026e-4,-0.006172476258005043,0.96,0.009541145018362228,0.009506763672091235,3.438134627099278e-5,0,0,1.0015367305453273
27,EG,phi22,200,200,-0.0010914150641391299,-0.0043656602565565195,0.965,0.011395409131393206,0.010537714943876344,8.576941875168623e-4,0,0,1.0015367305453273
27,EG,rho,200,200,-0.6164068738070457,-2.054689579356819,0,0.06754683213230958,0.06268912689525964,0.004857705237049939,0,0,1.0015367305453273
27,EG,sigma_exp[1],200,200,0.022782663281466355,0.022782663281466355,0.955,0.07263134241924438,0.06933236594624766,0.0032989764729967203,0,0,1.0015367305453273
27,EG,sigma_exp[2],200,200,0.02934016828766687,0.02934016828766687,0.95,0.07308931144679258,0.07255618808499545,5.331233617971304e-4,0,0,1.0015367305453273
27,NG,mu[1],200,200,0.0023850928915253116,0.0023850928915253116,0.935,0.07153219829206611,0.07407616281886312,-0.0025439645267970046,0,0,1.000792640714023
27,NG,mu[2],200,200,-0.007403492818960998,-0.007403492818960998,0.95,0.07187960356949748,0.07603725845337433,-0.004157654883876857,0,0,1.000792640714023
27,NG,phi11,200,200,-0.01420512044870404,-0.02582749172491643,0.925,0.06069809202351205,0.0631389248863912,-0.002440832862879147,0,0,1.000792640714023
27,NG,phi12,200,200,-0.0012911951963113589,-0.012911951963113562,0.98,0.0698184965284964,0.06033952503181654,0.009478971496679853,0,0,1.000792640714023
27,NG,phi21,200,200,-0.002048787547293204,-0.020487875472932016,0.935,0.0614914710589929,0.06653931884159334,-0.005047847782600437,0,0,1.000792640714023
27,NG,phi22,200,200,-0.019931328763861472,-0.07972531505544589,0.955,0.0695953539008295,0.06320405745592199,0.006391296444907518,0,0,1.000792640714023
27,NG,rho,200,200,-0.5513730697997312,-1.837910232665771,0,0.06584772516990628,0.07698631630926578,-0.0111385911393595,0,0,1.000792640714023
27,NG,sigma[1],200,200,-0.0025513923453178915,-0.0025513923453178915,0.67,0.05053434361525618,0.10239725666088924,-0.051862913045633056,0,0,1.000792640714023
27,NG,sigma[2],200,200,0.0029867948297077063,0.0029867948297077063,0.7150000000000001,0.05075002803410665,0.10131735192979044,-0.05056732389568379,0,0,1.000792640714023
28,EG,mu[1],200,200,-0.01632631746453885,-0.01632631746453885,0.98,0.1424253192239422,0.12268253713407669,0.019742782089865504,0,0,1.0017126192405128
28,EG,mu[2],200,200,-4.325857590871244e-4,-4.325857590871244e-4,0.97,0.14514378584978022,0.1321285783470391,0.013015207502741127,0,0,1.0017126192405128
28,EG,phi11,200,200,-0.00797425192860677,-0.014498639870194133,0.975,0.047070851996558215,0.044848106183532105,0.00222274581302611,0,0,1.0017126192405128
28,EG,phi12,200,200,0.0029221146188875536,0.02922114618887552,0.985,0.052854341655124246,0.0458095859341663,0.007044755720957946,0,0,1.0017126192405128
